DATE,REQRESNS,3m growth rate,12m growth rate
1967-08-01,23.398,8.834415393985196,4.876736889287314
1967-09-01,23.839,13.345277736457128,4.3236619841582336
1967-10-01,24.33,13.843896776969,5.594375244130023
1967-11-01,24.331,16.929714249200245,6.523357120966677
1967-12-01,24.916,19.333163616213223,6.269726179305635
1968-01-01,25.448,19.686781544278364,7.384589416828424
1968-02-01,25.211,15.271104561283,7.965397627510606
1968-03-01,25.226,5.070373669491812,9.864552937589831
1968-04-01,25.287,-2.506736146546684,9.652660335631591
1968-05-01,25.08,-2.0623139104750665,9.481403876375062
1968-06-01,25.356,2.077354673877152,9.747229916897515
1968-07-01,25.698,6.661592821879991,9.102487900144363
1968-08-01,25.69,10.089598649369226,9.795709034960254
1968-09-01,25.692,5.406812620080448,7.772977054406649
1968-10-01,26.392,11.24792289308063,8.475133579942472
1968-11-01,26.461,12.55598530011719,8.754264107517162
1968-12-01,26.766,17.799172892014493,7.424947824690964
1969-01-01,27.828,23.605776890610606,9.352404904118195
1969-02-01,27.061,9.383131867504323,7.338066716909286
1969-03-01,26.534,-3.422267476220553,5.185126456830247
1969-04-01,26.922,-12.400565833923771,6.465772926800328
1969-05-01,27.601,8.22408015244176,10.0518341307815
1969-06-01,26.969,6.720652995901566,6.361413472156485
1969-07-01,26.856,-0.9770105531408336,4.506187251926219
1969-08-01,26.771,-11.496772655646204,4.207862981704946
1969-09-01,26.728,-3.5268459479521064,4.032383621360736
1969-10-01,27.19,5.068254502768532,3.023643528341924
1969-11-01,27.515,11.588564906639554,3.983220588791059
1969-12-01,27.767,16.479632187036874,3.739819173578418
1970-01-01,28.68,23.788345284447157,3.06166451056491
1970-02-01,27.702,2.746356711576992,2.36872251579765
1970-03-01,27.355,-5.804309218838977,3.0941433632320825
1970-04-01,27.971,-9.527751277593277,3.8964415719485945
1970-05-01,27.719,0.245695691180936,0.42752074200211876
1970-06-01,27.373,0.2634658994651095,1.4980162408691378
1970-07-01,27.979,0.1144532949210352,4.181560917485849
1970-08-01,28.198,7.093470072966368,5.330394830226726
1970-09-01,28.546,18.274591345596654,6.801855731816819
1970-10-01,28.442,6.785374541373335,4.604634056638468
1970-11-01,28.433,3.375474347311047,3.3363619843721493
1970-12-01,28.998,6.485662270857606,4.433320128209761
1971-01-01,30.205,27.196403552616832,5.317294281729423
1971-02-01,29.645,18.17213408072107,7.0139340119846905
1971-03-01,29.485,6.888835669401727,7.786510692743542
1971-04-01,29.742,-5.991890982657033,6.331557684744915
1971-05-01,30.107,6.381010557806377,8.615029402215079
1971-06-01,29.892,5.636831377989138,9.202498812698634
1971-07-01,30.381,8.874852999522599,8.585010186211095
1971-08-01,30.256,1.9943502684125924,7.29838995673453
1971-09-01,30.594,9.7299433702823,7.1743852028305355
1971-10-01,30.65,3.589003818495517,7.763167147176708
1971-11-01,30.69,5.86234444602638,7.937959413357731
1971-12-01,31.163,7.649493137673025,7.466032140147583
1972-01-01,32.684,29.30606389470896,8.207250455222637
1972-02-01,31.791,15.140789363062355,7.238994771462304
1972-03-01,31.69,6.937965666773471,7.478378836696642
1972-04-01,32.424,-3.1442171705859945,9.017550938067377
1972-05-01,32.704,11.99193288291096,8.625900953266697
1972-06-01,32.338,8.433548425817762,8.182791382309663
1972-07-01,32.871,5.62951909035756,8.195911918633358
1972-08-01,32.891,2.306873887981053,8.709016393442614
1972-09-01,32.838,6.329596862685505,7.3347715238281985
1972-10-01,33.553,8.560981700367298,9.471451876019565
1972-11-01,31.458,-16.321069383625396,2.5024437927663623
1972-12-01,31.131,-19.227134218289976,-0.10268587748291091
1973-01-01,32.601,-10.87526332326708,-0.2539468853261506
1973-02-01,31.537,1.0083042251838537,-0.7989682614576443
1973-03-01,31.681,7.256405958534295,-0.028400126222782873
1973-04-01,32.126,-5.7019020216553145,-0.9190722921292971
1973-05-01,32.275,9.694156089936335,-1.3117661448140971
1973-06-01,31.97,3.699107626056564,-1.1379800853485111
1973-07-01,33.2,14.05799021288907,1.0008822366219583
1973-08-01,33.54,16.623811069000215,1.9731841537198758
1973-09-01,33.775,24.569260328972614,2.8534015469882323
1973-10-01,34.69,19.196873614969647,3.388668673442008
1973-11-01,34.543,12.509184630536009,9.806726428889313
1973-12-01,34.804,12.75484418629722,11.7985287976615
1974-01-01,36.419,21.47722637722797,11.711297199472392
1974-02-01,35.051,6.013565453463055,11.142467577765803
1974-03-01,34.791,-0.1493244244110569,9.81660932420061
1974-04-01,35.771,-6.929454707127158,11.345950320612609
1974-05-01,36.325,15.350861000690784,12.54841208365609
1974-06-01,36.259,17.97653642138064,13.415702220832038
1974-07-01,37.161,16.472995269722258,11.930722891566269
1974-08-01,36.853,5.942177919705305,9.877757901013728
1974-09-01,36.886,7.098393960495386,9.210954848260556
1974-10-01,36.754,-4.3094887911571895,5.949841452868254
1974-11-01,36.571,-3.025855966125046,5.870943461772282
1974-12-01,36.603,-3.0337769395157754,5.1689460981496405
1975-01-01,37.553,8.983337859713236,3.1137593014635145
1975-02-01,35.333,-12.868596405309551,0.8045419531539588
1975-03-01,34.513,-20.956871999133654,-0.7990572274438779
1975-04-01,35.014,-24.423224163981704,-2.116239411814036
1975-05-01,34.496,-9.14414847710806,-5.0350997935306285
1975-06-01,34.429,-0.9699977427072736,-5.047022808130386
1975-07-01,34.687,-3.683642143060295,-6.65751728963161
1975-08-01,34.265,-2.651786047039017,-7.022494776544653
1975-09-01,34.446,0.1976542481608278,-6.614975871604411
1975-10-01,34.427,-2.964699110380953,-6.331283669804644
1975-11-01,34.293,0.327265016037237,-6.22897924585053
1975-12-01,34.724,3.267532782027116,-5.133459006092411
1976-01-01,35.362,11.314197862651952,-5.83442068543124
1976-02-01,33.933,-4.133447334864659,-3.962301531146517
1976-03-01,33.534,-13.01938985379013,-2.836612291020768
1976-04-01,33.973,-14.810059047522271,-2.973096475695447
1976-05-01,33.848,-0.998215939065028,-1.8784786641929618
1976-06-01,33.651,1.4029193574876864,-2.259722908013584
1976-07-01,34.076,1.2182540674230855,-1.761466831954328
1976-08-01,33.844,-0.0472617703099031,-1.2286589814679671
1976-09-01,33.692,0.4882469084460217,-2.188933403007598
1976-10-01,34.116,0.470366075062234,-0.9033607343073791
1976-11-01,34.433,7.145196283186683,0.408246580934879
1976-12-01,34.964,15.97844409237863,0.6911646123718418
1977-01-01,35.799,21.24146024681974,1.2357898308919202
1977-02-01,34.234,-2.291772477359022,0.8870421123979622
1977-03-01,33.87,-11.940474632765486,1.0019681517265955
1977-04-01,34.602,-12.718696054458311,1.8514702852264975
1977-05-01,34.461,2.678831530506276,1.8110375797683709
1977-06-01,34.294,5.102195332084869,1.9107901696828966
1977-07-01,35.043,5.196261848150763,2.837774386665104
1977-08-01,34.987,6.246667472487877,3.377260371114521
1977-09-01,34.964,8.046790841806706,3.7753769440816765
1977-10-01,35.521,5.568808558813676,4.118302262867868
1977-11-01,35.647,7.761871331971593,3.525687567159408
1977-12-01,36.296,16.131655944792556,3.8096327651298445
1978-01-01,37.877,29.28899542861305,5.804631414285333
1978-02-01,36.607,11.215319142819414,6.931705322194293
1978-03-01,35.927,-4.004969514193856,6.073221139651608
1978-04-01,36.821,-10.694126939063407,6.412924108433038
1978-05-01,36.864,2.83791731378491,6.9731000261164855
1978-06-01,37.125,14.020261683322154,8.255088353647878
1978-07-01,38.048,14.010543352535109,8.575179065719274
1978-08-01,37.404,5.989382922507591,6.908280218366825
1978-09-01,37.613,5.362495096024711,7.576364260382107
1978-10-01,38.215,1.7672699067835085,7.584245939022005
1978-11-01,39.423,23.403218504309287,10.59275675372402
1978-12-01,41.446,47.427531792482135,14.188891337888476
1979-01-01,42.865,58.29815626603927,13.168941574042293
1979-02-01,40.494,11.31765116935788,10.618187778293775
1979-03-01,40.059,-12.729005654666016,11.501099451665864
1979-04-01,40.548,-19.93062490697639,10.121941283506697
1979-05-01,40.096,-3.873864462937304,8.767361111111116
1979-06-01,39.883,-1.7458599010003797,7.428956228956229
1979-07-01,40.705,1.55780015041449,6.9832842724978805
1979-08-01,40.494,4.029980443189296,8.261148540263052
1979-09-01,40.862,10.186199501530036,8.637970914311556
1979-10-01,42.007,13.421563794610837,9.922805181211558
1979-11-01,42.753,24.25207927787898,8.446845749942922
1979-12-01,43.578,29.35722795577636,5.1440428509385905
1980-01-01,44.928,30.85239541103724,4.812784322874131
1980-02-01,42.966,2.007784965479864,6.104608090087416
1980-03-01,42.91,-5.991985563957469,7.117002421428387
1980-04-01,44.683,-2.163490347665298,10.19779027325638
1980-05-01,43.785,7.845423378632188,9.200418994413418
