DATE,TOTALSL,3m growth rate,12m growth rate
1968-05-01,110.37701,9.388388371531864,7.004858877339526
1968-06-01,111.06785,9.046137989463876,7.062595478125155
1968-07-01,112.1237,9.54330105464203,7.713634518717405
1968-08-01,112.84495,9.24813017769488,7.80246799885973
1968-09-01,113.75424,10.031469376261914,8.159896489845364
1968-10-01,115.22826,11.544030381285353,9.282504899435452
1968-11-01,116.19605,12.41828234061506,9.313034536096687
1968-12-01,117.39909,13.445833246429295,9.880371731735572
1969-01-01,118.22598,10.819369539775604,10.727098014093528
1969-02-01,119.44904,11.677374622941697,10.674315439807236
1969-03-01,120.43148,10.739146444001848,10.803691816240924
1969-04-01,121.52369,11.632873020021115,10.881727497997673
1969-05-01,122.56481,10.849191632931944,11.041973323973897
1969-06-01,123.38066,10.161099619447466,11.085845273857364
1969-07-01,124.00398,8.417329303371268,10.595690295628835
1969-08-01,124.60868,6.839044845785058,10.424684489647085
1969-09-01,125.31914,6.434216421886374,10.16656609898674
1969-10-01,126.01972,6.662447227292168,9.365289383003784
1969-11-01,126.56923,6.443554864584855,8.927308630542964
1969-12-01,127.15618,5.99375213656328,8.311043978279553
1970-01-01,127.80299,5.781571922181672,8.100596840051555
1970-02-01,128.19115,5.225166667907333,7.318694231447975
1970-03-01,128.28,3.5823870804113644,6.517000372327897
1970-04-01,128.37472,1.801453715737677,5.637608601252975
1970-05-01,128.53404,1.0742339560457337,4.870264148412584
1970-06-01,129.18543,2.853324881116559,4.7047649121021
1970-07-01,129.85691,4.69892445711162,4.719953343433003
1970-08-01,130.1846,5.236360309974741,4.474744456004176
1970-09-01,130.85083,5.257193604176114,4.41408231815188
1970-10-01,131.11307,3.925874620248937,4.041708710351033
1970-11-01,130.80743,1.927459603393955,3.348523175814533
1970-12-01,131.55155,2.159310004688364,3.4566703718214686
1971-01-01,134.16406,9.637928866840962,4.977246619973452
1971-02-01,134.93292,13.224920065288329,5.2591540055612285
1971-03-01,135.73629,13.34438772169515,5.812511693171185
1971-04-01,136.99253,8.703312065105816,6.713011720687678
1971-05-01,137.84093,8.903315882482477,7.240797846235902
1971-06-01,138.76893,9.240847207526404,7.418406239774877
1971-07-01,139.90802,8.788476857056992,7.7401425923348866
1971-08-01,141.25209,10.272380879270248,8.501381883878745
1971-09-01,142.76657,12.030724369921542,9.106354159159702
1971-10-01,143.92676,11.994257262743456,9.773007374474574
1971-11-01,145.63484,13.000821872006927,11.335296473602451
1971-12-01,146.93018,12.185813129638,11.690192931972309
1972-01-01,147.66048,10.787537109093858,10.05963892267423
1972-02-01,148.92454,9.346260980910582,10.369315360551013
1972-03-01,150.77106,10.873538997246746,11.07645567740212
1972-04-01,152.32195,13.238174611358676,11.189967803353952
1972-05-01,154.19949,14.938805665122846,11.86770866969631
1972-06-01,156.15301,15.061355955988542,12.527357528807048
1972-07-01,157.27992,13.66929200505771,12.416657744137915
1972-08-01,158.93936,12.87404537914969,12.521775783990163
1972-09-01,160.55329,11.757170390551376,12.458602878811199
1972-10-01,162.22503,13.182252871342826,12.713598221762235
