DATE,MYAGM1USM052S
2010-09-01,1769200000000.0
2010-10-01,1779300000000.0
2010-11-01,1817200000000.0
2010-12-01,1828300000000.0
2011-01-01,1850300000000.0
2011-02-01,1871500000000.0
2011-03-01,1888200000000.0
2011-04-01,1897800000000.0
2011-05-01,1931600000000.0
2011-06-01,1945100000000.0
2011-07-01,2004500000000.0
2011-08-01,2106200000000.0
2011-09-01,2122700000000.0
2011-10-01,2137700000000.0
2011-11-01,2155000000000.0
2011-12-01,2161200000000.0
2012-01-01,2202200000000.0
2012-02-01,2217100000000.0
2012-03-01,2223800000000.0
2012-04-01,2253000000000.0
2012-05-01,2263100000000.0
2012-06-01,2267900000000.0
2012-07-01,2314300000000.0
2012-08-01,2341500000000.0
2012-09-01,2375700000000.0
2012-10-01,2422700000000.0
2012-11-01,2408100000000.0
2012-12-01,2447200000000.0
2013-01-01,2467800000000.0
2013-02-01,2480300000000.0
2013-03-01,2466800000000.0
2013-04-01,2525200000000.0
2013-05-01,2525800000000.0
2013-06-01,2529100000000.0
2013-07-01,2558300000000.0
2013-08-01,2560300000000.0
2013-09-01,2587000000000.0
2013-10-01,2625800000000.0
2013-11-01,2625300000000.0
2013-12-01,2660500000000.0
2014-01-01,2688400000000.0
2014-02-01,2712900000000.0
2014-03-01,2746100000000.0
2014-04-01,2770900000000.0
2014-05-01,2790500000000.0
2014-06-01,2820800000000.0
2014-07-01,2836800000000.0
2014-08-01,2807400000000.0
2014-09-01,2869600000000.0
2014-10-01,2874000000000.0
2014-11-01,2884700000000.0
2014-12-01,2927300000000.0
2015-01-01,2937900000000.0
2015-02-01,2985100000000.0
2015-03-01,2990200000000.0
2015-04-01,2995600000000.0
2015-05-01,2988600000000.0
2015-06-01,3015000000000.0
2015-07-01,3034200000000.0
2015-08-01,3041200000000.0
2015-09-01,3055500000000.0
2015-10-01,3031800000000.0
2015-11-01,3083400000000.0
2015-12-01,3079700000000.0
2016-01-01,3091000000000.0
2016-02-01,3104100000000.0
2016-03-01,3144600000000.0
2016-04-01,3177200000000.0
2016-05-01,3224600000000.0
2016-06-01,3231100000000.0
2016-07-01,3242600000000.0
2016-08-01,3320000000000.0
2016-09-01,3322700000000.0
2016-10-01,3333500000000.0
2016-11-01,3343100000000.0
2016-12-01,3326800000000.0
2017-01-01,3391300000000.0
2017-02-01,3368100000000.0
2017-03-01,3437700000000.0
