DATE,BOGNONBR,3m growth rate,12m growth rate
1977-05-01,18.379,3.377669343024703,3.102210254684179
1977-06-01,18.208,-2.017234093264131,2.1773288439955074
1977-07-01,18.425,0.4135486255738563,4.013774415716398
1977-08-01,17.858,-10.865924678928984,-0.5291594719545434
1977-09-01,18.247,0.8595228709389335,1.6659237798083426
1977-10-01,17.658,-15.640098532972535,-1.8072624145025862
1977-11-01,18.15,6.70265922587201,-0.6459382526822988
1977-12-01,18.42,3.84667967333705,0.46359421870738604
1978-01-01,18.806,28.6529287200076,2.468261319675258
1978-02-01,19.155,24.057237984975345,5.091348000219464
1978-03-01,18.958,12.20483521892195,3.5899677613245196
1978-04-01,18.851,0.9605822697760004,2.4176898837335647
1978-05-01,18.443,-14.059546765556574,0.3482235159693037
1978-06-01,18.774,-3.826110922017578,3.108523725834811
1978-07-01,18.801,-1.0567380634175505,2.0407055630936144
1978-08-01,18.772,7.328711878219973,5.118154328592217
1978-09-01,18.934,3.452797011751163,3.765002466158829
1978-10-01,18.832,0.6611724007899333,6.648544569033854
1978-11-01,19.169,8.731567101319836,5.61432506887054
1978-12-01,18.885,-1.0311632954134842,2.5244299674267
1979-01-01,18.818,-0.2970347496000114,0.06380942252472988
1979-02-01,18.423,-14.68142781634706,-3.8214565387627353
1979-03-01,18.439,-9.117241454803947,-2.737630551745951
1979-04-01,18.587,-4.820517543488823,-1.4004562092196693
1979-05-01,17.788,-13.0905353577774,-3.55148294745975
1979-06-01,18.39,-1.05873477080356,-2.045381911153721
1979-07-01,18.822,5.15402007500243,0.1116961863730781
1979-08-01,18.923,28.07119869521217,0.804389516300863
1979-09-01,18.667,6.1625136545031545,-1.4101616140276718
1979-10-01,18.353,-9.600676157929213,-2.543542905692431
1979-11-01,18.492,-8.80404374351389,-3.531743961604672
1979-12-01,19.248,13.043170628736569,1.9221604447974494
1980-01-01,19.452,26.19111716300735,3.369114677436502
1980-02-01,19.027,12.084545125400291,3.278510557455361
1980-03-01,17.879,-25.55587022495106,-3.037041054287104
1980-04-01,18.174,-23.80174052360872,-2.2219831064722695
1980-05-01,19.421,8.54381465030556,9.180346300876984
1980-06-01,20.196,62.8128020090583,9.820554649265901
1980-07-01,20.401,58.78289960727281,8.389119115928168
1980-08-01,20.352,20.598532421812557,7.551656714051691
1980-09-01,19.921,-5.336383131152189,6.717737183264583
1980-10-01,19.837,-10.608103763597466,8.085871519642552
1980-11-01,20.091,-5.03188043615258,8.646982478909804
1980-12-01,20.325,8.362165456247261,5.595386533665825
1981-01-01,20.278,9.193428303144312,4.246349989718268
1981-02-01,20.536,9.158411737835802,7.9308351290271695
1981-03-01,21.072,15.531606774844152,17.858940656636268
1981-04-01,20.849,11.748175833427844,14.718829096511499
1981-05-01,20.219,-6.033020630405128,4.1089542248082145
1981-06-01,20.289,-14.055213293917769,0.460487225193118
1981-07-01,20.65,-3.763613735090132,1.2205284054703114
1981-08-01,20.936,14.957192663719976,2.869496855345921
1981-09-01,21.031,15.450847400349032,5.572009437277248
1981-10-01,21.115,9.31609743789108,6.442506427383177
1981-11-01,21.675,14.88453904938658,7.8841272211438
1981-12-01,21.807,15.596317924216809,7.29151291512915
1982-01-01,21.152,0.7027680189256147,4.310089752441071
1982-02-01,20.762,-15.813913308077431,1.1005064277366472
1982-03-01,20.898,-15.6596876517203,-0.8257403189065982
1982-04-01,20.769,-7.048459006400254,-0.3837114489903648
1982-05-01,21.285,10.46326387073584,5.272268658192791
1982-06-01,21.164,5.189432496933844,4.312681748730829
1982-07-01,21.49,14.626047284481205,4.067796610169494
1982-08-01,21.833,10.7029109918523,4.284486052732128
1982-09-01,21.752,11.584986925565577,3.428272550045164
1982-10-01,22.412,18.297834088577854,6.1425526876627945
1982-11-01,22.733,17.536660894533405,4.881199538638992
1982-12-01,22.966,24.26380955286591,5.314807172009006
1983-01-01,22.697,5.184410044578525,7.304273827534025
1983-02-01,23.319,10.716585061968154,12.315769193719284
1983-03-01,23.621,11.905562995727625,13.029955019619099
1983-04-01,23.89,22.741314027681423,15.02720400597044
1983-05-01,23.907,10.4741417939173,12.318534178999286
1983-06-01,23.641,0.3391120692149085,11.703836703836679
1983-07-01,23.903,0.2178420256898849,11.228478362028849
1983-08-01,23.83,-1.2821147632368968,9.146704529840143
1983-09-01,23.994,6.107784357507073,10.30709819786686
1983-10-01,24.61,12.366488423766286,9.807246118151003
