DATE,NFORBRES,3m growth rate,12m growth rate
1970-03-01,-0.735,-39.386501598400415,7.613469985358701
1970-04-01,-0.693,-39.26286370198216,-17.105263157894733
1970-05-01,-0.811,-25.180039063973823,-27.524575513851644
1970-06-01,-0.691,-21.879892335024177,-36.0777058279371
1970-07-01,-1.194,781.220047625397,16.260954235637783
1970-08-01,-0.663,-55.33465459903445,-32.484725050916495
1970-09-01,-0.356,-92.95488961120708,-55.776397515527954
1970-10-01,-0.258,-99.7819974785849,-73.86018237082067
1970-11-01,-0.181,-99.44453054043356,-81.41683778234085
1970-12-01,-0.083,-99.704530690247,-90.0360144057623
1971-01-01,-0.13,-93.55393641163224,-83.43949044585987
1971-02-01,-0.078,-96.55123095893724,-91.05504587155964
1971-03-01,-0.124,398.1663299887916,-83.12925170068027
1971-04-01,0.015,-99.98227478029482,-102.16450216450217
1971-05-01,-0.065,-51.77469135802468,-91.98520345252774
1971-06-01,-0.291,2933.0894280050206,-57.88712011577424
1971-07-01,-0.639,329335285.76000005,-46.482412060301506
1971-08-01,-0.613,790921.8345912258,-7.541478129713431
1971-09-01,-0.306,22.268265117842788,-14.04494382022472
1971-10-01,-0.194,-99.15042155133808,-24.8062015503876
1971-11-01,-0.147,-99.6693051428898,-18.78453038674033
1971-12-01,0.056,-99.88783266485338,-167.46987951807228
1972-01-01,0.185,-17.304858646146716,-242.3076923076923
1972-02-01,0.119,-57.05441662681701,-252.56410256410254
1972-03-01,0.092,628.4490837151186,-174.19354838709677
1972-04-01,0.039,-99.802497992435,160.0
1972-05-01,0.028,-99.69349025993462,-143.07692307692307
1972-06-01,0.103,57.10774293482721,-135.39518900343643
1972-07-01,-0.045,77.2521970519239,-92.95774647887323
1972-08-01,-0.2,260208.20491461892,-67.37357259380097
1972-09-01,-0.329,10309.615612871128,7.5163398692810635
1972-10-01,-0.344,341394.50135040376,77.31958762886595
1972-11-01,-0.254,160.14464100000004,72.78911564625852
1972-12-01,-0.766,2838.539187616161,-1467.857142857143
1973-01-01,-0.902,4627.073769909577,-587.5675675675676
1973-02-01,-1.396,91144.52331731864,-1273.1092436974789
1973-03-01,-1.615,1875.9458017208992,-1855.4347826086957
1973-04-01,-1.488,640.6031837205138,-3915.3846153846152
1973-05-01,-1.704,121.99167524124448,-6185.714285714285
1973-06-01,-1.626,2.7524198337115724,-1678.640776699029
1973-07-01,-1.638,46.83982723393845,3540.0
1973-08-01,-1.968,77.91887124665229,884.0
1973-09-01,-1.595,-7.410746089723919,384.80243161094216
1973-10-01,-1.208,-70.41904795142024,251.1627906976744
1973-11-01,-1.168,-87.59287965609141,359.84251968503935
1973-12-01,-0.994,-84.91647706404152,29.76501305483028
1974-01-01,-0.886,-71.06209074611276,-1.7738359201773801
1974-02-01,-1.007,-44.74818981947045,-27.86532951289399
1974-03-01,-1.18,98.60148505483988,-26.93498452012384
1974-04-01,-1.554,846.3878810602475,4.435483870967749
1974-05-01,-1.772,858.8197871646881,3.9906103286384997
1974-06-01,-1.582,223.07093414234345,-2.7060270602705883
1974-07-01,-1.709,46.27300819650877,4.334554334554341
1974-08-01,-1.611,-31.683235247359608,-18.140243902439025
1974-09-01,-1.472,-25.04418625646676,-7.7115987460815045
1974-10-01,-1.208,-75.036844257395,0.0
1974-11-01,-0.887,-90.8100675816246,-24.058219178082187
1974-12-01,-0.322,-99.77102279663086,-67.6056338028169
1975-01-01,-0.115,-99.99178658769962,-87.02031602708804
1975-02-01,0.1,-99.98384505362792,-109.9304865938431
1975-03-01,0.131,-97.26056061181146,-111.10169491525423
1975-04-01,0.059,-93.07185952022756,-103.7966537966538
1975-05-01,0.093,-25.194799000000025,-105.24830699774266
1975-06-01,-0.01,-99.99660441335058,-99.36788874841972
1975-07-01,-0.093,517.3390476688778,-94.55822118197776
1975-08-01,-0.004,-99.99965777780612,-99.75170701427685
1975-09-01,-0.192,13589444.96,-86.95652173913044
1975-10-01,0.028,-99.17832451248944,-102.31788079470199
1975-11-01,0.228,1055600000.0,-125.70462232243517
1975-12-01,0.148,-64.69453411337771,-145.96273291925465
1976-01-01,0.173,145631.11480242602,-250.43478260869563
1976-02-01,0.147,-82.72054856373879,46.99999999999997
1976-03-01,0.172,82.41767916416993,31.297709923664097
1976-04-01,0.111,-83.05242741500145,88.13559322033899
1976-05-01,0.095,-82.55684330465287,2.1505376344086002
1976-06-01,0.087,-93.45419259833344,-969.9999999999999
1976-07-01,0.101,-31.452190679350625,-208.6021505376344
1976-08-01,0.107,60.93136301900688,-2775.0
1976-09-01,0.139,551.6016727666225,-172.39583333333334
1976-10-01,0.125,134.61434191475007,346.42857142857144
1976-11-01,0.185,793.6177834413763,-18.85964912280702
1976-12-01,0.221,539.0132946347716,49.324324324324344
1977-01-01,0.198,529.5362011136001,14.450867052023142
1977-02-01,0.126,-78.48232880739701,-14.28571428571428
1977-03-01,0.112,-93.40366055846708,-34.883720930232556
1977-04-01,0.119,-86.95250663960181,7.2072072072072
1977-05-01,0.002,-99.99999365198708,-97.89473684210527
1977-06-01,-0.115,11.152509111804054,-232.183908045977
1977-07-01,-0.048,-97.3528588213263,-147.5247524752475
1977-08-01,-0.861,3434730156406.25,-904.6728971962617
1977-09-01,-0.417,17188.32262377563,-399.99999999999994
1977-10-01,-1.096,27181640.817901246,-976.8000000000001
1977-11-01,-0.611,-74.63982563939547,-430.2702702702703
1977-12-01,-0.379,-31.76414777825054,-271.49321266968326
1978-01-01,-0.217,-99.84632730106502,-209.5959595959596
1978-02-01,-0.165,-99.46817232170766,-230.95238095238093
1978-03-01,-0.129,-98.65784707769424,-215.17857142857144
1978-04-01,-0.409,1161.9853014407306,-443.69747899159665
1978-05-01,-0.993,131078.0640229492,-49750.0
1978-06-01,-0.916,254127.8083319522,696.5217391304348
1978-07-01,-1.12,5523.139512191327,2233.3333333333335
1978-08-01,-0.972,-8.194634131098955,12.891986062717775
1978-09-01,-0.867,-19.740861219292547,107.91366906474819
1978-10-01,-1.115,-1.773791926843571,1.7335766423357546
1978-11-01,-0.481,-94.00325963819446,-21.276595744680847
1978-12-01,-0.636,-71.04309957614537,67.81002638522426
1979-01-01,-0.789,-74.92687052656461,263.59447004608296
1979-02-01,-0.764,536.4922629017548,363.030303030303
1979-03-01,-0.833,194.27376316372332,545.7364341085271
1979-04-01,-0.742,-21.781837683257976,81.41809290953546
1979-05-01,-1.624,1941.6000389088783,63.544813695871106
1979-06-01,-1.197,326.3797749209724,30.67685589519651
1979-07-01,-0.96,180.2007613781804,-14.285714285714302
1979-08-01,-0.863,-92.0255804092322,-11.213991769547327
1979-09-01,-1.149,-15.1008165783732,32.525951557093435
1979-10-01,-1.75,1004.2496304453158,56.95067264573992
1979-11-01,-1.661,1272.25665910294,245.32224532224535
1979-12-01,-1.031,-35.17320566868191,62.1069182389937
1980-01-01,-0.99,-89.75791009745939,25.475285171102648
1980-02-01,-1.444,-42.87973111755324,89.00523560209423
1980-03-01,-2.538,3572.246367434349,204.68187274909963
1980-04-01,-1.706,781.8106281844747,129.91913746630726
1980-05-01,-0.097,-99.99796381063814,-94.02709359605912
1980-06-01,0.131,-99.99929022824703,-110.94402673350041
1980-07-01,0.142,-99.99520004384658,-114.79166666666667
1980-08-01,-0.115,97.56245958893533,-86.67439165701043
1980-09-01,-0.964,293139.82589998713,-16.10095735422107
1980-10-01,-1.104,365261.6130943878,-36.91428571428571
1980-11-01,-1.539,3207373.802589899,-7.344972907886826
1980-12-01,-1.173,119.22188757392745,13.773035887487882
1981-01-01,-0.951,-44.93878706400712,-3.9393939393939426
1981-02-01,-0.932,-86.55040613911856,-35.45706371191135
1981-03-01,-0.705,-86.95138493795416,-72.22222222222221
1981-04-01,-1.161,122.12979264808706,-31.946072684642434
1981-05-01,-1.96,1855.963003684149,1920.618556701031
1981-06-01,-1.692,3217.76,-1391.6030534351144
1981-07-01,-1.336,75.34644025520514,-1040.8450704225354
1981-08-01,-1.048,-91.82625950835076,811.304347826087
1981-09-01,-0.741,-96.32149460688252,-23.132780082987548
1981-10-01,-0.465,-98.53247340978756,-57.88043478260869
1981-11-01,-0.154,-99.9533729700368,-89.99350227420403
1981-12-01,-0.169,-99.72943352316848,-85.5924978687127
1982-01-01,-0.902,1315.8405243849286,-5.152471083070442
1982-02-01,-1.253,438149.4710914552,34.4420600858369
1982-03-01,-0.886,75441.928745871,25.67375886524823
1982-04-01,-1.05,83.62467752720848,-9.560723514211888
1982-05-01,-0.582,-95.34534330941422,-70.3061224489796
1982-06-01,-0.793,-35.82618444458614,-53.13238770685579
1982-07-01,-0.327,-99.05933753602666,-75.52395209580838
1982-08-01,-0.109,-99.87696914187642,-89.59923664122138
1982-09-01,-0.43,-91.3546799988504,-41.97031039136302
1982-10-01,0.068,-99.81299869375722,-114.6236559139785
1982-11-01,-0.031,-99.34575444065186,-79.87012987012987
1982-12-01,0.052,-99.97861350806906,-130.76923076923077
1983-01-01,0.176,4387.60910429712,-119.51219512195121
1983-02-01,0.132,32773.72739764447,-110.53471667996808
1983-03-01,-0.042,-57.44174748783304,-95.25959367945825
1983-04-01,-0.128,-72.0237688682467,-87.80952380952381
1983-05-01,0.01,-99.99670614653084,-101.71821305841924
1983-06-01,-0.198,49292.79466888797,-75.03152585119798
1983-07-01,-0.368,6732.0556640625,12.538226299694188
1983-08-01,-0.609,1375527061.61,458.7155963302752
1983-09-01,-0.428,2083.30452569754,-0.46511627906976605
1983-10-01,-0.083,-99.74122572839596,-222.05882352941177
1983-11-01,-0.37,-86.37496188874694,1093.5483870967741
1983-12-01,-0.211,-94.09316628419838,-505.7692307692308
1984-01-01,-0.098,94.35330634642555,-155.6818181818182
1984-02-01,0.344,-25.281718614355984,160.60606060606057
1984-03-01,-0.257,120.0911968654668,511.90476190476187
1984-04-01,-0.717,286431.46474722185,460.15625
1984-05-01,-2.381,229411.16176505745,-23909.999999999996
1984-06-01,-0.667,4437.02155264205,236.86868686868684
1984-07-01,-0.286,-97.46844416856646,-22.282608695652183
1984-08-01,-0.293,-99.9770684769796,-51.88834154351396
1984-09-01,-0.133,-99.84191042635445,-68.9252336448598
1984-10-01,-0.342,104.4750352388288,312.0481927710843
1984-11-01,-0.081,-99.41592368679252,-78.10810810810811
1984-12-01,0.253,1209.4096005614508,-219.90521327014218
1985-01-01,0.398,83.41204960215005,-506.12244897959187
1985-02-01,0.364,40681.71253973094,5.813953488372103
1985-03-01,0.141,-90.35295363252592,-154.86381322957197
1985-04-01,0.281,-75.15191114888474,-139.1910739191074
1985-05-01,-0.047,-99.9722037699646,-98.02603947921041
1985-06-01,0.383,5344.006627674697,-157.42128935532233
1985-07-01,0.24,-46.78676189138119,-183.91608391608392
1985-08-01,0.332,248877.95933791573,-213.31058020477815
1985-09-01,0.065,-99.91704198903268,-148.87218045112783
1985-10-01,0.187,-63.14287468050732,-154.6783625730994
1985-11-01,-0.292,-40.161724221132914,260.49382716049377
1985-12-01,0.245,20084.170722313644,-3.1620553359683834
1986-01-01,0.81,35102.51152685691,103.51758793969847
1986-02-01,0.622,1958.875724248204,70.87912087912089
1986-03-01,0.64,4556.456588874448,353.9007092198582
1986-04-01,0.514,-83.78516997473513,82.91814946619216
1986-05-01,0.587,-20.678509508293928,-1348.9361702127658
1986-06-01,0.648,5.094533691406222,69.19060052219321
1986-07-01,0.51,-3.0766919580527685,112.5
1986-08-01,0.334,-89.51825808250379,0.6024096385542244
1986-09-01,0.252,-97.7128105471727,287.6923076923077
1986-10-01,0.374,-71.07950617283952,100.0
1986-11-01,0.568,736.3873883635916,-294.52054794520546
1986-12-01,0.65,4326.406178892338,165.3061224489796
1987-01-01,0.716,1243.277314680291,-11.604938271604947
1987-02-01,0.92,588.2686155237039,47.909967845659175
1987-03-01,0.658,5.014712535835608,2.8124999999999956
1987-04-01,0.134,-99.87732188218074,-73.92996108949417
1987-05-01,0.321,-98.51792964562354,-45.315161839863705
1987-06-01,0.731,52.32315741960807,12.808641975308642
1987-07-01,0.381,6435.528445601115,-25.294117647058822
1987-08-01,0.537,683.2078165999302,60.778443113772454
1987-09-01,0.254,-98.5423093817776,0.7936507936507908
1987-10-01,0.596,498.804611494648,59.35828877005347
1987-11-01,0.709,203.86998046551312,24.823943661971825
1987-12-01,0.726,6574.390559903941,11.69230769230769
1988-01-01,0.542,-31.606928647250875,-24.301675977653623
1988-02-01,0.947,218.28412305592173,2.934782608695641
1988-03-01,0.671,-27.030125741933887,1.9756838905775176
1988-04-01,0.516,-17.851117423605945,285.07462686567163
1988-05-01,0.576,-86.31357513210489,79.43925233644858
1988-06-01,0.367,-91.05100683596912,-49.79480164158687
1988-07-01,-0.011,-99.99997934753311,-102.88713910761156
1988-08-01,0.382,-80.65523234214602,-28.864059590316582
1988-09-01,0.237,-82.60881691902934,-6.692913385826782
1988-10-01,0.535,559556970.04303,-10.234899328859049
1988-11-01,0.635,663.5569763846328,-10.43723554301833
1988-12-01,0.59,3740.737824979517,-18.732782369146005
1989-01-01,0.533,-1.4869629687078612,-1.6605166051660514
1989-02-01,0.718,63.45675609039352,-24.18162618796198
1989-03-01,0.44,-69.06838048317616,-34.42622950819673
1989-04-01,0.232,-96.4104244080831,-55.03875968992248
1989-05-01,0.52,-72.48841589666497,-9.72222222222221
1989-06-01,0.336,-65.99471620790929,-8.446866485013615
1989-07-01,0.395,740.30402336029,-3690.9090909090914
1989-08-01,0.258,-93.94010011466683,-32.460732984293195
1989-09-01,0.274,-55.77731150773566,15.61181434599157
1989-10-01,0.506,169.28594390753636,-5.420560747663561
1989-11-01,0.621,3256.5071515569334,-2.2047244094488216
1989-12-01,0.697,4087.249709485783,18.135593220338976
1990-01-01,0.629,138.78141112776763,18.011257035647276
1990-02-01,0.088,-99.959675936693,-87.74373259052925
1990-03-01,0.708,6.463788976297447,60.90909090909089
1990-04-01,0.647,11.94753647165767,178.8793103448276
1990-05-01,0.494,99206.36998091836,-5.000000000000004
1990-06-01,0.253,-98.3693939327273,-24.702380952380953
1990-07-01,0.392,-86.5250505264218,-0.75949367088608
1990-08-01,0.076,-99.94397955253667,-70.54263565891473
1990-09-01,0.296,87.36340033847031,8.02919708029195
1990-10-01,0.449,72.12386754970626,-11.264822134387353
1990-11-01,0.723,818928.1336595073,16.425120772946865
1990-12-01,1.362,44727.19724340153,95.40889526542327
1991-01-01,1.633,17396.830109439536,159.61844197138313
1991-02-01,1.587,2221.424255330671,1703.409090909091
1991-03-01,0.994,-71.6314520258042,40.39548022598871
1991-04-01,0.884,-91.41254802882284,36.63060278207109
1991-05-01,0.82,-92.8723280604528,65.99190283400809
1991-06-01,0.664,-80.08745455899862,162.4505928853755
1991-07-01,0.344,-97.7068909399066,-12.244897959183687
1991-08-01,0.621,-67.10643148849991,717.1052631578947
1991-09-01,0.591,-37.24077007039688,99.66216216216218
1991-10-01,0.808,2943.7688827164857,79.9554565701559
1991-11-01,0.786,156.63966721329356,8.713692946058105
1991-12-01,0.799,234.0697820437064,-41.33627019089574
1992-01-01,0.761,-21.3147762748083,-53.39865278628291
1992-02-01,0.971,132.90924923568022,-38.81537492123503
1992-03-01,0.937,89.13471366559713,-5.7344064386317894
1992-04-01,1.046,256.9341578726772,18.325791855203622
1992-05-01,0.849,-41.55412816893875,3.5365853658536617
1992-06-01,0.695,-69.73220005685636,4.668674698795172
1992-07-01,0.692,-80.84431707746933,101.16279069767442
1992-08-01,0.69,-56.37197011300243,11.111111111111093
1992-09-01,0.728,20.38885913784532,23.181049069373948
1992-10-01,0.92,212.4114420857844,13.861386138613852
1992-11-01,0.939,242.9777967131337,19.465648854961827
1992-12-01,1.032,303.82506524502446,29.16145181476846
1993-01-01,1.098,102.8887895291434,44.2838370565046
1993-02-01,1.048,55.1610684520756,7.929969104016488
1993-03-01,1.142,49.94970872103784,21.878335112059744
1993-04-01,1.03,-22.56460137623325,-1.5296367112810683
1993-05-01,0.878,-50.73563003471697,3.4157832744405203
1993-06-01,0.715,-84.63403811600939,2.877697841726623
1993-07-01,0.824,-59.04000000000001,19.075144508670515
1993-08-01,0.601,-78.04568837561398,-12.89855072463768
1993-09-01,0.659,-27.836516213835694,-9.478021978021967
1993-10-01,0.793,-14.22042256832119,-13.80434782608696
1993-11-01,1.031,766.0376504738364,9.797657082002132
1993-12-01,0.988,405.2264976736388,-4.263565891472876
1994-01-01,1.387,835.8647617306003,26.320582877959907
1994-02-01,1.079,19.96404956670532,2.958015267175562
1994-03-01,0.929,-21.830906139845307,-18.65148861646233
1994-04-01,1.018,-70.98081122202382,-1.1650485436893177
1994-05-01,0.67,-85.13333921848516,-23.69020501138952
1994-06-01,0.784,-49.27741311231853,9.650349650349654
1994-07-01,0.659,-82.4389472929935,-20.02427184466019
1994-08-01,0.541,-57.49012287653874,-9.983361064891838
1994-09-01,0.562,-73.59531374228459,-14.719271623672226
1994-10-01,0.418,-83.81310801346297,-47.28877679697352
1994-11-01,0.748,265.4410508141751,-27.449078564500486
1994-12-01,0.962,758.5291111456653,-2.631578947368418
1995-01-01,1.201,6715.016356553706,-13.410237923576062
1995-02-01,0.911,120.02251084268276,-15.56997219647821
1995-03-01,0.755,-62.06085683432252,-18.729817007534987
1995-04-01,0.647,-91.57742100185884,-36.444007858546165
1995-05-01,0.724,-60.10846418254605,8.059701492537297
1995-06-01,0.712,-20.908070962788628,-9.183673469387765
1995-07-01,0.736,67.45346351464912,11.684370257966602
1995-08-01,0.725,0.5536318959223241,34.01109057301292
1995-09-01,0.694,-9.7353074439814,23.487544483985733
1995-10-01,0.835,65.66647996830588,99.76076555023923
1995-11-01,0.742,9.71439050755778,-0.8021390374331583
1995-12-01,1.034,392.77001502529424,7.484407484407485
1996-01-01,1.43,760.1976424108079,19.06744379683596
1996-02-01,0.826,53.56935781228038,-9.33040614709112
1996-03-01,1.121,38.14663009756229,48.47682119205299
1996-04-01,1.036,-72.45169568747656,60.123647604327665
1996-05-01,0.784,-18.83962192757973,8.287292817679571
1996-06-01,0.729,-82.11505277814393,2.3876404494381998
1996-07-01,0.654,-84.11921479843161,-11.141304347826086
1996-08-01,0.627,-59.09221991368349,-13.517241379310342
1996-09-01,0.683,-22.949989639047686,-1.5850144092218854
1996-10-01,0.721,47.71685940495771,-13.652694610778438
1996-11-01,0.842,225.2207167948213,13.477088948787053
1996-12-01,1.264,1073.0201732851438,22.24371373307543
1997-01-01,1.183,624.7661801954267,-17.272727272727263
1997-02-01,0.993,93.44104425635268,20.217917675544793
1997-03-01,1.013,-58.74757478449422,-9.634255129348801
1997-04-01,0.754,-83.49762677954713,-27.220077220077222
1997-05-01,1.04,20.319595502592524,32.65306122448979
1997-06-01,0.977,-13.475226033887166,34.01920438957475
1997-07-01,0.829,46.12776393743889,26.758409785932713
1997-08-01,0.662,-83.58281846174636,5.582137161084533
1997-09-01,0.859,-40.24222751670218,25.76866764275254
1997-10-01,1.146,265.1912374323564,58.945908460471564
1997-11-01,1.516,2650.2036076060426,80.04750593824228
1997-12-01,1.363,533.8854277871907,7.832278481012667
1998-01-01,1.555,238.9870463666932,31.445477599323745
1998-02-01,1.477,-9.89992010919102,48.7411883182276
1998-03-01,1.31,-14.669997317714834,29.318854886475833
1998-04-01,1.319,-48.23245034604128,74.9336870026525
1998-05-01,1.138,-64.75909384321085,9.423076923076913
1998-06-01,1.368,18.921179193660983,40.020470829068586
1998-07-01,1.117,-48.567988450621634,34.74065138721352
1998-08-01,1.262,51.24059295647052,90.6344410876133
1998-09-01,1.447,25.17849763464321,68.45168800931316
1998-10-01,1.402,148.1871900631371,22.33856893542758
1998-11-01,1.528,114.90968981034948,0.79155672823219
1998-12-01,1.396,-13.370152741603746,2.421129860601612
1999-01-01,1.284,-29.649361989497255,-17.42765273311897
1999-02-01,1.078,-75.22682751641202,-27.014218009478675
1999-03-01,1.204,-44.6695407998247,-8.091603053435126
1999-04-01,0.989,-64.8014258219126,-25.018953752843064
1999-05-01,1.094,6.07040927428697,-3.866432337434078
1999-06-01,1.153,-15.897039912976506,-15.71637426900585
1999-07-01,0.655,-80.76110902319058,-41.360787824529986
