DATE,HOUST,3m growth rate,12m growth rate
1982-07-01,1166.0,161.40678692448884,12.007684918347739
1982-08-01,1046.0,8.450429563128669,11.27659574468085
1982-09-01,1144.0,158.748563661258,25.57628979143798
1982-10-01,1173.0,2.423083597762954,34.36426116838487
1982-11-01,1372.0,195.99863435028283,63.91875746714457
1982-12-01,1303.0,68.29591129065831,43.18681318681319
1983-01-01,1586.0,234.2109565897491,88.13760379596678
1983-02-01,1699.0,135.15654458398097,96.18937644341801
1983-03-01,1606.0,130.7833647390067,72.50268528464017
1983-04-01,1472.0,-25.79750504309226,60.523446019629226
1983-05-01,1776.0,19.39835140189008,73.26829268292683
1983-06-01,1733.0,35.58513787716222,92.12860310421287
1983-07-01,1785.0,116.23283472943578,53.08747855917668
1983-08-01,1910.0,33.77089206625663,82.60038240917783
1983-09-01,1710.0,-5.203961054521333,49.47552447552448
1983-10-01,1715.0,-14.787439427150783,46.20630861040069
1983-11-01,1785.0,-23.71846691311086,30.102040816326525
1983-12-01,1688.0,-5.047735285734667,29.547198772064466
1984-01-01,1897.0,49.696906616551,19.609079445145028
1984-02-01,2260.0,156.96908303872866,33.01942319011184
1984-03-01,1663.0,-5.793856023470356,3.5491905354918973
1984-04-01,1851.0,-9.352391375180291,25.747282608695656
1984-05-01,1774.0,-62.03523592381235,-0.11261261261261701
1984-06-01,1843.0,50.84549482501309,6.347374495095215
1984-07-01,1732.0,-23.340518815399506,-2.9691876750700286
1984-08-01,1586.0,-36.11509255359,-16.963350785340314
1984-09-01,1698.0,-27.947442154493157,-0.7017543859649145
1984-10-01,1590.0,-28.97733791876003,-7.288629737609331
1984-11-01,1689.0,28.619218472964448,-5.378151260504205
1984-12-01,1612.0,-18.7713180511394,-4.502369668246442
1985-01-01,1711.0,34.09467773188584,-9.804955192409071
1985-02-01,1632.0,-12.831008914593712,-27.787610619469028
1985-03-01,1800.0,55.464011768068566,8.238123872519543
1985-04-01,1821.0,28.30386672622356,-1.620745542949753
1985-05-01,1680.0,12.293988936914024,-5.29875986471251
1985-06-01,1676.0,-24.83666582289285,-9.061313076505694
1985-07-01,1684.0,-26.86444432198424,-2.771362586605086
1985-08-01,1743.0,15.865041503906284,9.899117276166457
1985-09-01,1676.0,0.0,-1.2956419316843326
1985-10-01,1834.0,40.67890416880713,15.345911949685531
1985-11-01,1698.0,-9.933933667529873,0.5328596802841812
1985-12-01,1942.0,80.26061362353265,20.471464019851116
1986-01-01,1972.0,33.668882441851736,15.254237288135597
1986-02-01,1848.0,40.29982325031492,13.235294117647056
1986-03-01,1876.0,-12.916789085127744,4.222222222222216
1986-04-01,1933.0,-7.679154399275944,6.150466776496422
1986-05-01,1854.0,1.3050398439391264,10.357142857142865
1986-06-01,1847.0,-6.041463065170283,10.202863961813847
1986-07-01,1782.0,-27.772366995013957,5.819477434679343
1986-08-01,1807.0,-9.761121125405726,3.671830177854285
1986-09-01,1687.0,-30.402642798613243,0.6563245823389074
1986-10-01,1681.0,-20.81552257526098,-8.342420937840789
1986-11-01,1623.0,-34.920910376490546,-4.416961130742047
1986-12-01,1833.0,39.37649201020468,-5.612770339855821
1987-01-01,1774.0,24.034816427032048,-10.040567951318458
1987-02-01,1784.0,45.98402070456511,-3.463203463203468
1987-03-01,1726.0,-21.38357231658301,-7.995735607675902
1987-04-01,1614.0,-31.48279169640525,-16.5028453181583
1987-05-01,1628.0,-30.651319515626785,-12.189859762675292
1987-06-01,1594.0,-27.25718510710572,-13.697888467785601
