DATE,PPIACO,3m growth rate,12m growth rate
1982-04-01,99.6,-0.4006003980879691,1.6326530612244872
1982-05-01,99.8,0.0,1.5259409969481164
1982-06-01,100.0,1.6161289017690317,1.522842639593902
1982-07-01,100.4,3.251768152314649,1.4141414141414232
1982-08-01,100.3,2.0191185607198125,1.3131313131313105
1982-09-01,100.0,0.0,1.2145748987854255
1982-10-01,100.2,-0.7944349947458407,1.3144590495449915
1982-11-01,100.3,0.0,1.5182186234817818
1982-12-01,100.5,2.0150500624999568,1.7206477732793601
1983-01-01,100.2,0.0,0.5015045135406293
1983-02-01,100.5,0.799996015959259,0.7014028056112176
1983-03-01,100.4,-0.3974162995083574,0.8032128514056325
1983-04-01,100.4,0.8007968047999858,0.8032128514056325
1983-05-01,100.8,1.1993869006096114,1.002004008016022
1983-06-01,101.0,2.411951977296267,1.0000000000000009
1983-07-01,101.3,3.6341596652528674,0.8964143426294813
1983-08-01,101.8,4.027696886797272,1.495513459621134
1983-09-01,102.0,4.019602999607885,2.0000000000000018
1983-10-01,102.2,3.601442352299089,1.9960079840319445
1983-11-01,102.1,1.184002895671088,1.7946161515453696
1983-12-01,102.3,1.1816710842183389,1.7910447761193993
1984-01-01,102.9,2.7680026467132413,2.6946107784431073
1984-02-01,103.2,4.379646286026029,2.686567164179099
1984-03-01,103.9,6.404416720656858,3.486055776892427
1984-04-01,104.0,4.345051597234995,3.585657370517925
1984-05-01,104.1,3.534270752754876,3.273809523809512
1984-06-01,104.0,0.3855417218175061,2.970297029702973
1984-07-01,104.2,0.7714525502980463,2.8627838104639647
1984-08-01,103.8,-1.1477643025624928,1.9646365422396839
1984-09-01,103.4,-2.287798591993884,1.3725490196078383
1984-10-01,103.4,-3.0358311454972475,1.1741682974559797
1984-11-01,103.7,-0.3847999388029488,1.5670910871694588
1984-12-01,103.5,0.3874087475922216,1.1730205278592365
1985-01-01,103.4,0.0,0.4859086491739495
1985-02-01,103.3,-1.5340080128683151,0.09689922480620172
1985-03-01,103.1,-1.5369550845076074,-0.7699711260827802
1985-04-01,103.3,-0.3862863667731364,-0.6730769230769207
1985-05-01,103.5,0.7766953827402556,-0.5763688760806907
1985-06-01,103.3,0.7782064490494012,-0.6730769230769207
1985-07-01,103.2,-0.3866597698298224,-0.9596928982725572
1985-08-01,102.7,-3.056124989642828,-1.0597302504816941
1985-09-01,102.1,-4.566317501014527,-1.2572533849129708
1985-10-01,102.9,-1.1577302084373908,-0.4835589941972973
1985-11-01,103.4,2.754388872052127,-0.2892960462873684
1985-12-01,103.6,6.007368368564481,0.09661835748790981
1986-01-01,103.2,1.1712905934664786,-0.19342359767892114
1986-02-01,101.7,-6.415988656854532,-1.5488867376573068
1986-03-01,100.3,-12.145358592781374,-2.7158098933074637
1986-04-01,99.6,-13.24019553931337,-3.581800580832528
1986-05-01,100.0,-6.520541429755156,-3.3816425120772986
1986-06-01,99.9,-1.5856970444425578,-3.2913843175217727
1986-07-01,99.4,-0.8007967726715082,-3.6821705426356544
1986-08-01,99.3,-2.7707369599,-3.3106134371957197
1986-09-01,99.4,-1.987022044491804,-2.6444662095984173
1986-10-01,99.7,1.212719853719113,-3.109815354713319
1986-11-01,99.8,2.0293620457517925,-3.481624758220514
1986-12-01,99.7,1.212719853719113,-3.7644787644787514
1987-01-01,100.5,3.2484673964898514,-2.6162790697674465
1987-02-01,101.0,4.897063332165019,-0.68829891838742
1987-03-01,101.2,6.155235169096862,0.8973080757726848
1987-04-01,101.9,5.689657130045012,2.309236947791171
