DATE,TB3MS,3m growth rate,12m growth rate
1965-10-01,4.03,21.309632509027043,12.885154061624672
1965-11-01,4.09,28.696973681633885,12.362637362637363
1965-12-01,4.38,55.86628127156945,14.0625
1966-01-01,4.59,68.27924606037581,20.472440944881875
1966-02-01,4.65,67.0777351686485,18.32061068702291
1966-03-01,4.59,20.601941727658392,16.793893129770975
1966-04-01,4.62,2.6401221176020284,17.557251908396942
1966-05-01,4.64,-0.8574441426874135,19.28020565552697
1966-06-01,4.5,-7.615457397348557,18.42105263157896
1966-07-01,4.8,16.519080098930793,25.0
1966-08-01,4.96,30.573421313452577,29.166666666666675
1966-09-01,5.37,102.79025797530863,36.98979591836735
1966-10-01,5.35,54.329936887011065,32.75434243176176
1966-11-01,5.32,32.34874371089025,30.073349633251855
1966-12-01,4.96,-27.21706525703109,13.242009132420085
1967-01-01,4.72,-39.41670828735585,2.8322440087146017
1967-02-01,4.56,-46.02249062890466,-1.935483870967758
1967-03-01,4.26,-45.58586992468058,-7.189542483660127
1967-04-01,3.84,-56.19164932034293,-16.883116883116887
1967-05-01,3.6,-61.153613001741824,-22.413793103448263
1967-06-01,3.54,-52.31578343833294,-21.333333333333336
1967-07-01,4.21,44.47858709336068,-12.291666666666668
1967-08-01,4.27,97.9253843795247,-13.91129032258065
1967-09-01,4.42,143.03903341150524,-17.690875232774673
1967-10-01,4.56,37.63566556261282,-14.766355140186915
1967-11-01,4.73,50.56813214652431,-11.090225563909772
1967-12-01,4.97,59.85877385707163,0.20161290322580072
1968-01-01,5.0,44.550848967331525,5.932203389830515
1968-02-01,4.98,22.87762484098068,9.21052631578949
1968-03-01,5.17,17.094532615242606,21.361502347417847
1968-04-01,5.38,34.04452661760003,40.10416666666667
1968-05-01,5.66,66.85850714834936,57.22222222222222
1968-06-01,5.52,29.95534261100645,55.93220338983049
1968-07-01,5.31,-5.103765111959291,26.128266033254157
1968-08-01,5.09,-34.59583513559517,19.20374707259953
1968-09-01,5.19,-21.852854245664226,17.420814479638015
1968-10-01,5.35,3.047401242425352,17.324561403508774
1968-11-01,5.45,31.436165255817848,15.221987315010566
1968-12-01,5.96,73.90641706764373,19.919517102615703
1969-01-01,6.14,73.4835723413592,22.799999999999997
1969-02-01,6.12,59.008257905541896,22.891566265060238
1969-03-01,6.02,4.088062844273277,16.44100580270793
1969-04-01,6.11,-1.9401202349385471,13.568773234200759
1969-05-01,6.04,-5.127124041304643,6.7137809187279185
1969-06-01,6.44,30.96568065821912,16.666666666666675
1969-07-01,7.0,72.27700739997293,31.826741996233523
1969-08-01,6.98,78.35033770487136,37.13163064833007
1969-09-01,7.09,46.90665538465162,36.60886319845855
1969-10-01,7.0,0.0,30.841121495327116
1969-11-01,7.24,15.753084953984686,32.84403669724772
1969-12-01,7.82,47.99330585634818,31.208053691275172
1970-01-01,7.87,59.77424329904208,28.175895765472326
1970-02-01,7.13,-5.940242525354478,16.503267973856197
1970-03-01,6.63,-48.33135155320343,10.13289036544851
1970-04-01,6.51,-53.180688291547376,6.546644844517169
1970-05-01,6.84,-15.3033393872542,13.245033112582782
1970-06-01,6.68,3.0508874760641014,3.7267080745341463
1970-07-01,6.45,-3.63598106915769,-7.857142857142851
1970-08-01,6.41,-22.87277406672313,-8.166189111747856
1970-09-01,6.12,-29.54694356287653,-13.681241184767279
1970-10-01,5.91,-29.512669219413468,-15.57142857142857
1970-11-01,5.28,-53.96336497392158,-27.071823204419886
1970-12-01,4.87,-59.90315919588753,-37.72378516624041
1971-01-01,4.44,-68.14468111315722,-43.58322744599745
1971-02-01,3.7,-75.88589175150446,-48.10659186535764
1971-03-01,3.38,-76.79663582762159,-49.01960784313726
1971-04-01,3.86,-42.87616734292321,-40.70660522273426
1971-05-01,4.14,56.74527863934844,-39.473684210526315
1971-06-01,4.75,290.0386435320363,-28.892215568862266
1971-07-01,5.4,283.02385290321524,-16.279069767441857
1971-08-01,4.94,102.72459021370142,-22.93291731669266
1971-09-01,4.69,-4.957701142747483,-23.36601307189542
1971-10-01,4.46,-53.46664180972114,-24.534686971235196
1971-11-01,4.22,-46.74725389107771,-20.07575757575758
1971-12-01,4.01,-46.55757952997225,-17.65913757700206
1972-01-01,3.38,-67.01417380891314,-23.873873873873887
1972-02-01,3.2,-66.93640219434182,-13.513513513513509
1972-03-01,3.73,-25.138618606095665,10.355029585798814
1972-04-01,3.71,45.153942910346736,-3.886010362694303
1972-05-01,3.69,76.80948182106016,-10.869565217391298
1972-06-01,3.91,20.745707995989918,-17.68421052631579
1972-07-01,3.98,32.44533002486902,-26.296296296296305
1972-08-01,4.02,40.86358845206695,-18.62348178137654
1972-09-01,4.66,101.76072842202082,-0.6396588486140775
1972-10-01,4.74,101.17827427016354,6.278026905829592
1972-11-01,4.78,99.8975052578656,13.27014218009479
1972-12-01,5.07,40.11614192191153,26.433915211970096
1973-01-01,5.41,69.69759746440131,60.059171597633146
1973-02-01,5.6,88.38248503952025,74.99999999999997
1973-03-01,6.09,108.17919900309845,63.27077747989276
1973-04-01,6.26,79.27026993346227,68.733153638814
