DATE,PCE,3m growth rate,12m growth rate
1980-05-01,1700.1,-0.3052805476334463,9.064665127020778
1980-06-01,1718.8,2.5053445882268432,9.08167798438788
1980-07-01,1747.1,12.820307748728489,10.150684067839343
1980-08-01,1763.8,15.850919105563444,9.173062639267137
1980-09-01,1780.5,15.150686640272838,8.97239733153803
1980-10-01,1817.1,17.015733332746684,10.690789473684204
1980-11-01,1826.8,15.07120439563796,10.227478428769675
1980-12-01,1851.7,16.98080193304783,11.12644781852008
1981-01-01,1870.0,12.16338632710019,10.17498379779651
1981-02-01,1884.2,13.173301695220571,10.744093099800157
1981-03-01,1902.9,11.527343614378749,11.397962767825787
1981-04-01,1904.4,7.563831836714652,12.340726757904674
1981-05-01,1913.8,6.433465508485381,12.569848832421627
1981-06-01,1934.5,6.809792598349884,12.54945310681872
1981-07-01,1942.1,8.156758248680918,11.1613530994219
1981-08-01,1966.6,11.500788429488807,11.497902256491654
1981-09-01,1965.5,6.565654445411218,10.390339792193215
1981-10-01,1963.9,4.566152264622647,8.07880689009961
1981-11-01,1970.6,0.8160724824620491,7.871688197941751
1981-12-01,1988.8,4.826781674238023,7.404007128584533
1982-01-01,1997.1,6.935465955814735,6.796791443850259
1982-02-01,2021.2,10.673398044912275,7.270990340728156
1982-03-01,2024.1,7.291029937402094,6.369225918335153
1982-04-01,2026.3,5.978002858522791,6.400966183574863
1982-05-01,2044.5,4.691470821561627,6.829344759117983
1982-06-01,2048.1,4.8278722542751895,5.8723184285345065
1982-07-01,2072.2,9.373396694102777,6.69893414345295
1982-08-01,2080.1,7.1490676598520375,5.7713820807484995
1982-09-01,2104.6,11.499683334360466,7.077079623505456
1982-10-01,2125.8,10.754895943775631,8.243800600845264
1982-11-01,2149.3,13.985943594535488,9.06830406982646
1982-12-01,2161.6,11.28152343026656,8.688656476267088
1983-01-01,2174.0,9.382677042211183,8.857843873616744
1983-02-01,2177.0,5.255684865041732,7.708292103700765
1983-03-01,2202.8,7.844734231781625,8.828615186996714
1983-04-01,2226.4,9.995423030179662,9.875141884222472
1983-05-01,2245.9,13.27340207883907,9.85081927121545
1983-06-01,2276.0,13.96953062145112,11.127386358087987
1983-07-01,2304.4,14.767439611053156,11.205482096322772
1983-08-01,2320.4,13.943555378245788,11.552329214941604
1983-09-01,2334.9,10.760296530862767,10.94269694953911
1983-10-01,2357.6,9.559243584401925,10.904130209803364
1983-11-01,2366.3,8.150314754313982,10.096310426650534
1983-12-01,2393.6,10.441720614814564,10.73279052553664
1984-01-01,2419.4,10.904767032579564,11.287948482060717
1984-02-01,2403.5,6.438143499358429,10.404225999081307
1984-03-01,2431.6,6.503096342540604,10.386780461231137
1984-04-01,2457.5,6.449444825406747,10.379985627021204
1984-05-01,2474.5,12.350064667381533,10.178547575582165
1984-06-01,2495.6,10.951037837560706,9.648506151142344
1984-07-01,2494.6,6.176783804876496,8.253775386217654
1984-08-01,2512.2,6.234850853105756,8.265816238579538
1984-09-01,2533.8,6.264797608163164,8.518566105614811
1984-10-01,2531.3,6.015851163064112,7.36766202918222
1984-11-01,2571.4,9.764451911814652,8.667540041414856
1984-12-01,2582.6,7.92927494264315,7.896056149732611
1985-01-01,2618.8,14.56048734601081,8.24171282136068
1985-02-01,2640.8,11.24064209889677,9.873101726648637
1985-03-01,2648.5,10.604124482293289,8.920052640236875
1985-04-01,2659.5,6.363017483981581,8.219735503560521
1985-05-01,2696.4,8.691411476438393,8.967468175388982
1985-06-01,2689.4,6.321646399621206,7.765667574931889
1985-07-01,2715.7,8.72444277179123,8.863144391886468
1985-08-01,2752.1,8.522444406850461,9.549398933205966
1985-09-01,2794.7,16.605538132774413,10.296787433893751
1985-10-01,2755.8,6.038509375472123,8.8689606131237
1985-11-01,2771.1,2.7902570391058923,7.766197402193353
1985-12-01,2811.3,2.3971786489664915,8.855417021606149
1986-01-01,2827.1,10.75769250186751,7.954024744157628
1986-02-01,2820.2,7.278042325271761,6.793395940624047
1986-03-01,2823.6,1.7615989969527843,6.611289409099497
1986-04-01,2835.2,1.1509855089465892,6.606504982139483
1986-05-01,2857.5,5.396289874016458,5.974632843791716
1986-06-01,2861.7,5.507594402157667,6.406633449840093
1986-07-01,2881.2,6.64949997142239,6.094193025739214
1986-08-01,2898.6,5.878601239887704,5.323207732277169
1986-09-01,2971.8,16.300585045757376,6.336995026299785
1986-10-01,2932.9,7.373076724137451,6.426446041077005
1986-11-01,2928.4,4.1761830821752,5.676446176608563
1986-12-01,2997.1,3.449077266086187,6.6090420801764305
1987-01-01,2935.5,0.3550696406485309,3.8343178522160626
1987-02-01,3001.7,10.39452830787695,6.435713779164609
1987-03-01,3013.3,2.179683149035583,6.718373707323999
1987-04-01,3038.8,14.83654879227312,7.181151241535
1987-05-01,3048.4,6.369880398109595,6.680664916885393
1987-06-01,3072.8,8.135350006540175,7.376734109096006
1987-07-01,3094.7,7.563703959190415,7.410106899902824
1987-08-01,3130.8,11.25857386686988,8.01076381701511
1987-09-01,3126.5,7.175755951527041,5.205599300087482
1987-10-01,3134.5,5.244371036535211,6.873742711991548
1987-11-01,3144.2,1.723045210885643,7.36921185630377
1987-12-01,3174.1,6.230368562598176,5.905708851890168
1988-01-01,3213.7,10.496426865256336,9.47709078521546
1988-02-01,3221.4,10.188929518723366,7.319185794716332
1988-03-01,3260.5,11.340815486206491,8.203630571134624
1988-04-01,3263.0,6.278878776125163,7.3779123338159724
1988-05-01,3293.6,9.270970059865656,8.043563836766833
1988-06-01,3318.5,7.307597040507541,7.995964592554006
1988-07-01,3342.7,10.133974001747802,8.01370084337738
1988-08-01,3368.0,9.346507251817185,7.576338316085329
1988-09-01,3375.0,6.9862144098655765,7.9481848712617875
1988-10-01,3413.7,8.770669856939396,8.907321741904607
1988-11-01,3430.2,7.594343272749726,9.09611347878634
1988-12-01,3459.7,10.422775139800232,8.997826155445644
1989-01-01,3483.7,8.45799847840314,8.40153094563898
1989-02-01,3488.0,6.912413743537638,8.27590488607437
1989-03-01,3498.8,4.597837331448562,7.308694985431696
1989-04-01,3543.0,6.984685716961359,8.58106037388906
1989-05-01,3551.8,7.519715500279167,7.839446198688371
1989-06-01,3566.6,7.979459571041314,7.476269398824775
1989-07-01,3585.7,4.90862513768584,7.269572501271426
1989-08-01,3620.6,7.976234164188467,7.499999999999996
1989-09-01,3621.9,6.347724165617996,7.315555555555564
1989-10-01,3633.6,5.451475940933559,6.441690833992442
1989-11-01,3643.3,2.5315556849196064,6.21246574543759
1989-12-01,3684.2,7.059934037090865,6.4890019365841045
1990-01-01,3730.7,11.125273046924589,7.090162757987195
1990-02-01,3728.2,9.652130251070012,6.886467889908254
1990-03-01,3754.9,7.899817173552459,7.319652452269354
1990-04-01,3770.0,4.28073708781751,6.4069997177533144
1990-05-01,3775.8,5.205663593151577,6.306661411115488
1990-06-01,3804.5,5.389380600329097,6.670218134918415
1990-07-01,3821.7,5.599282776011849,6.581699528683371
1990-08-01,3848.3,7.904549157605278,6.289012870794908
1990-09-01,3870.1,7.077542199840381,6.852756840332419
1990-10-01,3870.6,5.217214402087156,6.522457067371201
1990-11-01,3871.9,2.4756887127958205,6.274531331485189
1990-12-01,3861.3,-0.9064397038858308,4.807013734324972
1991-01-01,3841.0,-3.0240462480589203,2.9565497091698756
1991-02-01,3866.7,-0.5361227199884633,3.714929456574212
1991-03-01,3913.0,5.464236142629697,4.210498282244535
1991-04-01,3907.1,7.063362474691659,3.636604774535801
1991-05-01,3933.2,7.058759859631669,4.1686530006885825
1991-06-01,3940.5,2.840915889258322,3.574714154290981
1991-07-01,3966.0,6.16777894985947,3.775806578224361
1991-08-01,3969.1,3.701262041288711,3.1390484109866668
1991-09-01,3984.7,4.562796999061081,2.961163794217203
1991-10-01,3976.0,1.012393857678262,2.723092027075902
1991-11-01,4003.6,3.5224540430595086,3.4014308220770006
1991-12-01,4020.5,3.642468104034191,4.122963768678933
1992-01-01,4084.7,11.392296747842876,6.344701900546723
1992-02-01,4099.5,9.931167590626488,6.020637753122826
1992-03-01,4117.0,9.952017393655677,5.2133912599028776
1992-04-01,4131.5,4.662322312871026,5.743390238284163
1992-05-01,4158.4,5.872089792448665,5.725617817553141
1992-06-01,4177.1,5.968313296681971,6.004314173328273
1992-07-01,4204.8,7.287801454667808,6.0211800302572005
1992-08-01,4220.9,6.148828112963156,6.344007457610035
1992-09-01,4255.3,7.701374014596718,6.790975481215655
1992-10-01,4284.7,7.820242402595068,7.764084507042246
1992-11-01,4300.5,7.759496990268411,7.415825756818872
1992-12-01,4336.4,7.844154371510603,7.857231687601041
1993-01-01,4340.7,5.331291051928466,6.267290131466208
1993-02-01,4355.3,5.195337925945531,6.239785339675574
1993-03-01,4352.5,1.4933940800742729,5.720184600437217
1993-04-01,4393.4,4.94551843653539,6.339102021057719
1993-05-01,4422.4,6.306491319144314,6.348595613697583
1993-06-01,4440.0,8.287109505966628,6.293840224078906
1993-07-01,4468.9,7.053177835220081,6.280917047184165
1993-08-01,4481.1,5.415981673364856,6.1645620602241324
1993-09-01,4511.5,6.598714229413583,6.020727093271905
1993-10-01,4532.8,5.843375633951542,5.790370387658417
1993-11-01,4554.1,6.677224557231898,5.896988722241603
1993-12-01,4571.1,5.389912091887394,5.412323586385037
1994-01-01,4585.1,4.695742002579673,5.630428271937715
1994-02-01,4632.6,7.0752163192507656,6.366955204004321
1994-03-01,4646.0,6.717079814545812,6.743251005169437
1994-04-01,4671.1,7.716296121175881,6.320844903719225
1994-05-01,4669.5,3.224385838235766,5.587463820549932
1994-06-01,4708.9,5.5263821064458485,6.056306306306292
1994-07-01,4720.6,4.3066863346229445,5.632258497616882
1994-08-01,4762.6,8.216855814629875,6.281939702305239
1994-09-01,4775.0,5.734236321778297,5.840629502382799
1994-10-01,4812.9,8.05342681218466,6.1794034592304925
1994-11-01,4825.6,5.397145492118471,5.961660920928402
1994-12-01,4841.6,5.696868771476371,5.9176128284220475
1995-01-01,4851.2,3.221309787424942,5.8035811650781755
1995-02-01,4850.8,2.105278956987977,4.710098001122476
1995-03-01,4885.4,3.668039830373204,5.152819629789063
1995-04-01,4890.2,3.254685160447668,4.6905439832159335
1995-05-01,4933.1,6.9611839186451085,5.645144019702331
1995-06-01,4977.5,7.756769390241547,5.704092250844162
1995-07-01,4970.2,6.706033083200169,5.287463458034991
1995-08-01,5005.3,5.9841140435163975,5.095955990425383
1995-09-01,5020.5,3.500586516209747,5.141361256544497
1995-10-01,5013.9,3.5636173764780343,4.176276257557809
1995-11-01,5055.6,4.080739680872059,4.766246684350128
1995-12-01,5097.5,6.277432052528953,5.285442828816911
1996-01-01,5085.7,5.85229550107933,4.833855540897103
1996-02-01,5132.8,6.249415203760145,5.813474066133417
1996-03-01,5173.3,6.082004586560852,5.89306914479879
1996-04-01,5208.0,9.971702904185143,6.498711709132565
1996-05-01,5223.8,7.282477727029035,5.892846283270159
1996-06-01,5229.8,4.440674350328089,5.068809643395289
1996-07-01,5251.9,3.414608128892027,5.66777996861294
1996-08-01,5275.0,3.9785343990099697,5.388288414280851
1996-09-01,5296.6,5.207907239474396,5.499452245792269
1996-10-01,5328.5,5.962961488275065,6.274556732284253
1996-11-01,5351.2,5.9046125982967546,5.846981564997211
1996-12-01,5378.6,6.337950410067261,5.514467876410012
1997-01-01,5411.1,6.346293881388321,6.398332579585908
1997-02-01,5434.0,6.33440481717038,5.8681421446384
1997-03-01,5454.2,5.741933206464034,5.429803027081359
1997-04-01,5459.3,3.610937044212448,4.825268817204309
1997-05-01,5460.2,1.9425906901952672,4.525441249664985
1997-06-01,5494.2,2.965947944446224,5.055642663199356
1997-07-01,5548.8,6.7206457474263015,5.6531921780689
1997-08-01,5587.0,9.61764887219758,5.91469194312797
1997-09-01,5601.7,8.059145090854503,5.7602990597741766
1997-10-01,5637.7,6.564257179580224,5.802758750117287
