DATE,PERMIT,3m growth rate,12m growth rate
1970-10-01,1564.0,94.71304768197216,28.61842105263157
1970-11-01,1502.0,34.78098800631728,26.112510495382036
1970-12-01,1767.0,135.75889969661338,52.98701298701298
1971-01-01,1643.0,21.787652351956037,54.70809792843691
1971-02-01,1588.0,24.94597250646995,42.039355992844364
1971-03-01,1759.0,-1.7987174702515096,55.388692579505296
1971-04-01,1745.0,27.242288496132417,42.56535947712419
1971-05-01,1972.0,137.80755625153049,48.49397590361446
1971-06-01,1903.0,36.990924104664025,43.948562783661124
1971-07-01,2069.0,97.63335238102562,56.26888217522659
1971-08-01,2004.0,6.650581162968772,43.75896700143471
1971-09-01,1996.0,21.02831715473849,39.9719495091164
1971-10-01,2026.0,-8.057607334962302,29.53964194373402
1971-11-01,2079.0,15.831608850128063,38.41544607190413
1971-12-01,2133.0,30.41311666919284,20.713073005093374
1972-01-01,2238.0,48.89584017196584,36.21424223980523
1972-02-01,2169.0,18.47323592155479,36.58690176322419
1972-03-01,2105.0,-5.148330607516027,19.670267197271187
1972-04-01,2139.0,-16.554521472021566,22.578796561604577
1972-05-01,2067.0,-17.52473902452014,4.817444219066935
1972-06-01,2183.0,15.66621978279228,14.71361008933263
1972-07-01,2195.0,10.890657882429068,6.089898501691637
1972-08-01,2263.0,43.673380131172415,12.924151696606788
1972-09-01,2393.0,44.39622903790881,19.88977955911824
1972-10-01,2354.0,32.27803527539979,16.18953603158935
1972-11-01,2234.0,-5.028245914904628,7.4555074555074485
1972-12-01,2419.0,4.417352862534596,13.408345053914683
1973-01-01,2271.0,-13.375108660653956,1.4745308310991856
1973-02-01,2226.0,-1.424732363604908,2.6279391424619547
1973-03-01,2062.0,-47.202766059173165,-2.042755344418057
1973-04-01,1908.0,-50.17527107217879,-10.799438990182331
1973-05-01,1931.0,-43.37236095546515,-6.5795839380745065
1973-06-01,2051.0,-2.1168363306794946,-6.046724690792482
1973-07-01,1819.0,-17.392911665914536,-17.12984054669704
1973-08-01,1809.0,-22.976158957765293,-20.061864781263804
1973-09-01,1704.0,-52.35517674092171,-28.792310906811537
1973-10-01,1411.0,-63.79427413728549,-40.05947323704333
1973-11-01,1402.0,-63.92238771015939,-37.24261414503134
1973-12-01,1288.0,-67.35737390869309,-46.75485737908227
1974-01-01,1331.0,-20.822065741302037,-41.39145750770585
1974-02-01,1360.0,-11.455094462449331,-38.90386343216532
1974-03-01,1440.0,56.23794437050766,-30.164888457807947
1974-04-01,1254.0,-21.20876204797879,-34.27672955974843
1974-05-01,1138.0,-50.975472709988345,-41.06680476437079
1974-06-01,1086.0,-67.65036889347029,-47.050219405168214
1974-07-01,1002.0,-59.23562950127381,-44.91478834524464
1974-08-01,917.0,-57.83925325396007,-49.309010503040355
1974-09-01,840.0,-64.2070211966,-50.70422535211267
1974-10-01,824.0,-54.26612918602694,-41.60170092133239
1974-11-01,783.0,-46.84186869636069,-44.151212553495014
1974-12-01,869.0,14.541261405556693,-32.53105590062112
