DATE,NOCDFSA066MSFRBPHI,3m growth rate,12m growth rate
1980-12-01,4.2,-90.165504,-151.85185185185185
1981-01-01,2.2,-99.93724742921356,-110.94527363184079
1981-02-01,10.9,2348.6215742746367,-147.5982532751092
1981-03-01,7.2,763.6401499375258,-124.74226804123711
1981-04-01,-12.3,97607.90972269654,-62.03703703703704
1981-05-01,0.3,-99.9999426175579,-100.56074766355141
1981-06-01,-9.8,243.2213672648987,-79.19320594479831
1981-07-01,11.6,-20.893619999430225,-125.1082251082251
1981-08-01,12.3,282576000.0000002,-135.65217391304347
1981-09-01,21.9,2393.8605003451094,-392.0
1981-10-01,-9.2,-60.43425456077571,-166.18705035971223
1981-11-01,-23.6,1255.2754334841238,-581.6326530612245
1981-12-01,-26.1,101.73700547157134,-721.4285714285714
1982-01-01,-10.0,39.5881947248617,-554.5454545454545
1982-02-01,-10.8,-95.61421831040605,-199.08256880733944
1982-03-01,-1.2,-99.99955314877296,-116.66666666666667
1982-04-01,0.0,-100.0,-100.0
1982-05-01,0.1,-99.99999926497016,-66.66666666666666
1982-06-01,11.7,903587.890625,-219.3877551020408
1982-07-01,-4.4,inf,-137.93103448275863
1982-08-01,-7.3,2839824000.0,-159.34959349593493
1982-09-01,-1.5,-99.9729839663082,-106.84931506849315
1982-10-01,10.1,2676.3536739720626,-209.78260869565216
1982-11-01,3.3,-95.82396318138156,-113.98305084745763
1982-12-01,12.6,497771.3600000001,-148.27586206896552
1983-01-01,16.8,665.5113456654855,-268.0
1983-02-01,24.2,289104.93827160506,-324.074074074074
1983-03-01,22.1,846.4265483962035,-1941.6666666666667
1983-04-01,28.9,775.6977707303747,inf
1983-05-01,36.3,406.25,36199.99999999999
1983-06-01,29.5,217.48189887060235,152.13675213675216
1983-07-01,37.6,186.5233423760614,-954.5454545454545
1983-08-01,37.2,10.292316743340413,-609.5890410958905
1983-09-01,28.7,-10.414128475663976,-2013.3333333333333
1983-10-01,30.2,-58.38246129396063,199.009900990099
1983-11-01,40.3,37.73630401234564,1121.212121212121
1983-12-01,29.0,4.247201362162767,130.15873015873018
1984-01-01,35.8,97.47145891813216,113.09523809523805
1984-02-01,31.2,-64.07488297504872,28.925619834710737
1984-03-01,29.6,8.536260072022305,33.9366515837104
1984-04-01,32.9,-28.67340612897641,13.84083044982698
1984-05-01,33.1,26.675783474179404,-8.815426997245169
1984-06-01,28.6,-12.844000387039843,-3.050847457627115
1984-07-01,-5.5,-99.92189709884408,-114.62765957446808
1984-08-01,14.9,-95.8938661846553,-59.946236559139784
1984-09-01,23.1,-57.44174748783306,-19.512195121951216
1984-10-01,24.1,36765.269432415815,-20.198675496688733
1984-11-01,3.6,-99.65922719473528,-91.06699751861042
1984-12-01,5.7,-99.62927531646552,-80.34482758620689
1985-01-01,0.8,-99.9998785795669,-97.76536312849163
1985-02-01,13.3,18529.30104261927,-57.37179487179487
1985-03-01,30.2,78700.38677525701,2.0270270270270174
1985-04-01,10.1,2540437.133789061,-69.30091185410335
