DATE,DTB3,3m growth rate,12m growth rate
2019-02-15,2.38,39.48624041907873,67.6056338028169
2019-02-19,2.41,49.36271383026869,67.36111111111114
2019-02-20,2.4,46.89905176647908,64.3835616438356
2019-02-21,2.4,39.08358360166766,64.3835616438356
2019-02-22,2.41,36.41078812540308,61.74496644295302
2019-02-25,2.42,41.20483449776218,61.33333333333333
2019-02-26,2.4,34.16076149440539,56.86274509803921
2019-02-27,2.4,24.951518420304097,56.86274509803921
2019-02-28,2.4,27.17777137159556,56.86274509803921
2019-03-01,2.39,22.881972779175964,48.4472049689441
2019-03-04,2.41,27.047095703092623,53.50318471337581
2019-03-05,2.41,29.310685416429514,54.487179487179496
2019-03-06,2.41,20.547116433975088,54.487179487179496
2019-03-07,2.4,20.64325260434343,50.94339622641508
2019-03-08,2.41,22.666575431273596,46.95121951219514
2019-03-11,2.41,22.666575431273596,48.76543209876543
2019-03-12,2.41,24.8328202498868,49.68944099378882
2019-03-13,2.4,18.55875300617136,49.06832298136645
2019-03-14,2.4,20.64325260434343,45.45454545454546
2019-03-15,2.4,20.64325260434343,46.34146341463414
2019-03-18,2.39,22.881972779175964,46.625766871165666
2019-03-19,2.41,24.8328202498868,50.62500000000001
2019-03-20,2.42,18.38850172792004,49.382716049382694
2019-03-21,2.43,22.45518389148753,45.50898203592817
2019-03-22,2.41,16.443762750468505,46.06060606060607
2019-03-25,2.41,20.547116433975088,46.06060606060607
2019-03-26,2.41,18.47323592155479,46.95121951219514
2019-03-27,2.39,8.824874290326212,45.73170731707319
2019-03-28,2.38,8.86396403545444,41.66666666666667
2019-03-29,2.35,5.273608468613,38.23529411764708
2019-04-01,2.38,12.68339122083173,37.572254335260105
2019-04-02,2.37,5.227670059448308,36.20689655172416
2019-04-03,2.39,8.824874290326212,36.57142857142859
2019-04-04,2.39,5.18252492358906,35.02824858757063
2019-04-05,2.39,5.18252492358906,34.26966292134832
2019-04-08,2.38,1.698475841550562,39.18128654970761
2019-04-09,2.37,1.705718484464147,40.23668639053255
2019-04-10,2.38,5.204999621901485,39.18128654970761
2019-04-11,2.38,10.753099391366415,35.22727272727273
