DATE,IC4WSA,3m growth rate,12m growth rate
2010-11-13,437750,-29.21831928691946,-15.451472718493486
2010-11-20,431500,-31.899741302046504,-14.681166584280769
2010-11-27,426250,-30.743533827787928,-13.714574898785425
2010-12-04,424750,-25.214168606607267,-13.360530341662413
2010-12-11,423000,-25.62825967270652,-13.319672131147541
2010-12-18,427250,-21.219429771959877,-12.314007183170862
2010-12-25,420250,-25.273068509835102,-13.439752832131823
2011-01-01,416500,-30.248538200513877,-12.36191478169385
2011-01-08,418750,-26.33426253179808,-10.523504273504269
2011-01-15,418000,-22.32354186119989,-12.0
2011-01-22,428500,-15.55514146085608,-9.931686810299523
2011-01-29,430250,-9.19406551437082,-11.425630468347913
2011-02-05,422250,-13.428685091425208,-12.938144329896906
2011-02-12,423250,-7.431192954120503,-11.914672216441202
2011-02-19,410250,-14.19021953096412,-15.889287544848795
2011-02-26,401500,-20.162183967462244,-17.34431291816778
2011-03-05,404500,-16.379524211821874,-16.983068240123146
2011-03-12,399250,-23.74796936696927,-17.595459236326107
2011-03-19,402500,-15.854159967636372,-15.706806282722518
2011-03-26,406000,-9.709073109880508,-13.66294524189261
2011-04-02,401250,-15.697413113642655,-14.989406779661019
2011-04-09,404250,-12.52277710392753,-14.39915299100053
2011-04-16,403000,-21.76215502094552,-14.528101802757154
2011-04-23,408750,-18.53941085902228,-12.846481876332627
2011-04-30,427000,4.576202496296422,-7.57575757575758
2011-05-07,431750,8.278322246466786,-5.109890109890114
2011-05-14,434750,26.114204208867807,-4.712328767123286
2011-05-21,435000,37.78908918214001,-5.38336052202284
2011-05-28,422500,19.023508876309148,-8.450704225352112
2011-06-04,419500,21.884410565882995,-9.492988133764834
2011-06-11,419250,17.714170414698273,-9.204114780725503
2011-06-18,417500,11.820591433903571,-9.041394335511988
2011-06-25,418250,18.05479105582037,-9.17480998914224
2011-07-02,417000,13.225463081250698,-9.19978225367447
2011-07-09,415750,13.2684211722893,-8.070757324488664
2011-07-16,416750,8.061594464071087,-8.356239692138534
2011-07-23,414250,-11.4194100724883,-8.956043956043958
2011-07-30,411250,-17.68210451077843,-10.694896851248647
2011-08-06,410500,-20.51333365838791,-12.937433722163306
2011-08-13,407750,-22.799724348638406,-14.607329842931938
2011-08-20,408750,-12.395944928191582,-14.353064431639606
2011-08-27,409500,-9.199599577990936,-13.78947368421053
2011-09-03,411750,-6.965903089505254,-11.878009630818621
2011-09-10,416750,-0.716628944803166,-8.757525998905313
2011-09-17,418500,0.2393059056257085,-8.122941822173434
2011-09-24,417750,0.7213676820167825,-7.88313120176406
2011-10-01,415500,-0.2403122975753069,-8.075221238938058
2011-10-08,410750,-5.6356713626995685,-9.873834339001641
2011-10-15,404000,-9.536082223160602,-10.619469026548678
2011-10-22,403250,-7.557036299759456,-9.4329028635598
2011-10-29,401750,-8.257431269760207,-10.123042505592839
2011-11-05,397250,-9.909344954350086,-9.869540555870671
2011-11-12,394250,-13.452257290408031,-9.937178754997145
2011-11-19,389750,-17.940499124074805,-9.675550405561994
2011-11-26,389250,-20.130667735629626,-8.680351906158357
2011-12-03,388000,-24.86808329080834,-8.652148322542674
2011-12-10,384250,-28.932071723840945,-9.160756501182032
2011-12-17,380000,-31.535009504063616,-11.059098888238738
2011-12-24,377250,-32.043206100871046,-10.232004759071977
2011-12-31,374500,-30.89698445345508,-10.084033613445376
2012-01-07,398750,-5.0975719596683895,-4.7761194029850795
2012-01-14,384500,-17.34143292628606,-8.014354066985641
2012-01-21,378750,-21.007288018560157,-11.610268378063015
2012-01-28,377750,-18.235973835969187,-12.20220801859384
2012-02-04,372000,-20.73436346676604,-11.900532859680279
2012-02-11,370500,-18.340192122098387,-12.463083284111043
2012-02-18,365000,-22.68620830538879,-11.029859841560018
2012-02-25,363250,-23.176234623141923,-9.526774595267751
2012-03-03,365000,-18.582839263874284,-9.765142150803463
2012-03-10,367000,-12.997872939702738,-8.077645585472759
2012-03-17,369250,-8.216413894850271,-8.260869565217387
2012-03-24,368750,-6.001520672219362,-9.174876847290637
2012-03-31,364500,-30.17879393916274,-9.158878504672895
2012-04-07,369000,-15.175738339279132,-8.719851576994431
2012-04-14,372250,-6.689984911368829,-7.6302729528536
2012-04-21,378250,0.5305028154458435,-7.461773700305807
2012-04-28,381750,10.903288337348217,-10.597189695550346
2012-05-05,378250,8.633281248222936,-12.391430225825129
2012-05-12,375250,11.714962953185172,-13.686026451983901
2012-05-19,371250,9.104674360364196,-14.655172413793105
2012-05-26,373500,9.645538989897284,-11.597633136094675
2012-06-02,374500,8.42839547718135,-10.727056019070325
2012-06-09,378000,9.820946758979863,-9.838998211091232
2012-06-16,381250,14.264492078761991,-8.682634730538918
2012-06-23,381000,19.37400703084076,-8.906156604901373
2012-06-30,379750,12.17231050957479,-8.93285371702638
2012-07-07,374000,1.8937587306561363,-10.042092603728204
2012-07-14,375500,-2.876568415917624,-9.898020395920815
2012-07-21,372500,-9.345592157087278,-10.078455039227519
2012-07-28,372500,-5.943381389090929,-9.422492401215809
2012-08-04,375250,0.0,-8.587088915956153
2012-08-11,370000,-1.340014575243742,-9.258123850398526
2012-08-18,372000,-1.5967743232016662,-8.99082568807339
2012-08-25,373250,-1.3284438664036058,-8.852258852258855
2012-09-01,373250,-4.932501561490654,-9.35033394049788
2012-09-08,379250,-2.0819066354022087,-8.99820035992801
2012-09-15,383250,2.383212269941115,-8.422939068100355
2012-09-22,383250,3.737917146721936,-8.258527827648109
2012-09-29,384500,11.711778943410822,-7.460890493381466
2012-10-06,373750,-1.8511896425921104,-9.007912355447356
2012-10-13,372250,-0.2681862386429978,-7.85891089108911
2012-10-20,371500,-1.0695091075523575,-7.873527588344698
2012-10-27,368500,-7.003379809859212,-8.276291225886744
2012-11-03,372250,2.4547102476997207,-6.293266205160474
2012-11-10,387250,17.43402494775235,-1.775523145212432
2012-11-17,395250,25.74428299289908,1.4111610006414477
2012-11-24,401250,33.55523506652804,3.0828516377649384
2012-12-01,403750,28.454044654259803,4.059278350515472
2012-12-08,377250,-6.116701506801148,-1.8217306441119074
2012-12-15,364750,-17.95491899160976,-4.013157894736841
2012-12-22,358250,-24.636784563593483,-5.036447978793901
2012-12-29,355000,-18.60670935765657,-5.206942590120156
2013-01-05,369750,-2.6594255278054257,-7.272727272727275
2013-01-12,363750,-8.087043581860264,-5.396618985695712
2013-01-19,352000,-16.74301394944728,-7.062706270627062
2013-01-26,353000,-19.135110793621525,-6.551952349437462
2013-02-02,352500,-31.34522003646746,-5.241935483870963
2013-02-09,353250,-36.1969900021015,-4.655870445344135
2013-02-16,359000,-35.92072157491613,-1.6438356164383605
2013-02-23,353000,-41.56827868483968,-2.821748107364075
2013-03-02,347750,-27.79761211072944,-4.726027397260268
2013-03-09,346750,-18.325839968403624,-5.517711171662121
2013-03-16,342000,-16.946177008719733,-7.3798239675016974
2013-03-23,346000,-9.761683811472356,-6.169491525423732
2013-03-30,354750,-15.266160493826307,-2.6748971193415683
2013-04-06,358750,-5.38595045166641,-2.777777777777779
2013-04-13,362000,11.85711869189714,-2.753525856279382
2013-04-20,358250,6.083044396527404,-5.287508261731655
2013-04-27,347250,-5.825671471147387,-9.037328094302556
2013-05-04,341250,-12.911269848153296,-9.781890284203564
2013-05-11,342250,-17.396959588188267,-8.794137241838772
2013-05-18,342250,-11.636073514469992,-7.811447811447813
2013-05-25,347750,0.0,-6.89424364123159
2013-06-01,350500,4.396565260836027,-6.408544726301734
2013-06-08,344750,3.255376634921836,-8.79629629629629
2013-06-15,347250,1.452936616553413,-8.918032786885243
2013-06-22,345750,-9.7683002312008,-9.251968503937002
2013-06-29,344250,-15.213217141883174,-9.348255431204745
2013-07-06,347750,-14.840270648785411,-7.018716577540108
2013-07-13,345500,-13.493765024145576,-7.989347536617841
2013-07-20,347500,0.2882881013728466,-6.711409395973156
2013-07-27,346000,5.685098127036703,-7.114093959731549
2013-08-03,343000,0.8794377288247501,-8.594270486342436
2013-08-10,338750,-4.0282556852553775,-8.445945945945944
2013-08-17,335000,-13.878680840080726,-9.946236559139788
2013-08-24,335500,-16.05052030261397,-10.113864701942399
2013-08-31,332000,-13.99271560272205,-11.051574012056264
2013-09-07,325250,-23.033771939841277,-14.238628872775216
2013-09-14,321000,-25.70298348594872,-16.242661448140904
