DATE,RETAIL,3m growth rate,12m growth rate
1955-12-01,15531,-3.673485616362437,5.861904437325327
1956-01-01,15495,-5.483249765734676,4.944124619031487
1956-02-01,15370,-7.014311073865387,3.1820622986036495
1956-03-01,15663,3.443239539039622,4.385204931689435
1956-04-01,15516,0.5432134179025994,1.7109144542772903
1956-05-01,15771,10.851470074229352,3.348623853211019
1956-06-01,15797,3.4662433138913817,4.436070342456699
1956-07-01,15744,6.008634560960036,2.207218904180741
1956-08-01,15826,1.4022796555384964,2.646257620962511
1956-09-01,15906,2.7887157245994443,1.4607386617337514
1956-10-01,15933,4.8889892018074255,1.387209672287626
1956-11-01,16106,7.266999713377586,2.900587784308706
1956-12-01,16193,7.415103450001159,4.2624428562230365
1957-01-01,16329,10.318445000942656,5.3823814133591386
1957-02-01,16635,13.799523029262506,8.230318802862712
1957-03-01,16453,6.578873921335027,5.043733639788028
1957-04-01,16493,4.078321532777629,6.296725960299043
1957-05-01,16534,-2.406585629705138,4.837993786063022
1957-06-01,16820,9.225382693586104,6.475913148066081
1957-07-01,16799,7.630432260183073,6.700965447154461
1957-08-01,16967,10.894116750591463,7.209654998104376
1957-09-01,16841,0.500341520225156,5.878284923928079
1957-10-01,16782,-0.4041719696980195,5.328563359066085
1957-11-01,16699,-6.1700209237025465,3.6818576927853064
1957-12-01,16647,-4.528792666337145,2.8036806027295746
1958-01-01,16659,-2.8996387281337577,2.0209443321697496
1958-02-01,16374,-7.560564359475097,-1.5689810640216462
1958-03-01,16319,-7.651413693088394,-0.8144411353552594
1958-04-01,16535,-2.9442915066151487,0.25465348935911347
1958-05-01,16517,3.5393730519905464,-0.10281843474053698
1958-06-01,16476,3.904166638023399,-2.0451843043995277
1958-07-01,16746,5.202860961151434,-0.31549496993869
1958-08-01,16853,8.3887500515758,-0.6718924972004436
1958-09-01,16745,6.692397508504655,-0.5700374087049487
1958-10-01,16662,-1.9914028277791984,-0.7150518412584961
1958-11-01,17048,4.709205348192391,2.0899455057189043
1958-12-01,17605,22.180953522081715,5.7547906529705095
1959-01-01,17583,24.01190640948898,5.54655141365028
1959-02-01,17712,16.51361238284985,8.1714913887871
1959-03-01,17860,5.920909344552916,9.442980574790116
1959-04-01,17871,6.714519901136407,8.079830662231636
1959-05-01,18011,6.925401763922956,9.045226130653262
1959-06-01,18175,7.243717485975343,10.31196892449624
1959-07-01,18169,6.838721022693117,8.497551654126356
1959-08-01,18285,6.225443699874256,8.497003500860378
1959-09-01,18046,-2.808981338145056,7.7694834278889235
1959-10-01,18178,0.1982869596146796,9.098547593326135
1959-11-01,17699,-12.21606222753774,3.818629751290481
1959-12-01,17617,-9.17529305805138,0.06816245384833053
1960-01-01,18092,-1.879010329816344,2.894841608371723
1960-02-01,18159,10.808428959814352,2.5237127371273704
1960-03-01,18139,12.389449985054537,1.5621500559910517
1960-04-01,18615,12.074251205097442,4.163169380560694
1960-05-01,18337,3.9789494943259776,1.8100049969463017
1960-06-01,18312,3.8699100326337934,0.7537826685006799
1960-07-01,18128,-10.061133912354435,-0.22565908965821446
1960-08-01,18190,-3.168277745324144,-0.5195515449822219
1960-09-01,18173,-3.001864197912296,0.7037570652776326
1960-10-01,18333,4.600698263628367,0.8526790626031566
1960-11-01,18071,-2.591255144192861,2.1018136617888095
1960-12-01,17939,-5.051870572428296,1.8277799852415288
1961-01-01,17953,-8.036822237471053,-0.7682953791731117
1961-02-01,17889,-3.968101956895453,-1.4868660168511516
1961-03-01,18078,3.135602204403143,-0.3362919675836573
1961-04-01,17758,-4.274403103895807,-4.603814128391082
1961-05-01,18025,3.075829225513771,-1.7014778862409319
1961-06-01,18159,1.8043150552123244,-0.835517693315857
1961-07-01,18145,9.006321308951915,0.09377758164166305
1961-08-01,18345,7.292600299543861,0.8521165475535941
1961-09-01,18377,4.8891936672123215,1.1225444340505097
1961-10-01,18708,13.00080954282965,2.0454917362133784
1961-11-01,18840,11.237886681020948,4.255436887831321
1961-12-01,18847,10.629375520424356,5.061597636434589
1962-01-01,19009,6.592742886827296,5.882025288252657
1962-02-01,19011,3.6803020025730993,6.272010732852595
1962-03-01,19331,10.674701951535416,6.931076446509565
1962-04-01,19436,9.292529828086815,9.449262304313555
1962-05-01,19568,12.244717539064377,8.560332871012477
1962-06-01,19317,-0.2893755855281954,6.377003138939363
1962-07-01,19623,3.904427511993447,8.145494626618909
1962-08-01,19745,3.667540129619496,7.63150722267647
1962-09-01,19804,10.472186908300896,7.7651412091200855
1962-10-01,20115,10.412573417171767,7.520846696600381
1962-11-01,20220,9.975527239907066,7.32484076433122
1962-12-01,20216,8.584852316002856,7.263755504854874
1963-01-01,20301,3.7503516034393503,6.796780472407815
1963-02-01,20148,-1.4167426781315884,5.98074798800694
1963-03-01,20309,1.8528633671833328,5.059231286534582
1963-04-01,20397,1.90499189108162,4.94443301090759
1963-05-01,20268,2.403738928159082,3.5772690106296023
1963-06-01,20419,2.184192699516463,5.704819588963095
1963-07-01,20656,5.176742562136294,5.2642307496305385
1963-08-01,20630,7.337958103202813,4.482147379083323
1963-09-01,20579,3.171368719441192,3.913350838214491
1963-10-01,20937,5.553566604163396,4.086502609992548
1963-11-01,20701,1.3837590113854992,2.3788328387734925
1963-12-01,21156,11.69588273415425,4.649782350613374
1964-01-01,21046,2.0987563560067146,3.6697699620708235
1964-02-01,21143,8.81809975478185,4.938455429819344
1964-03-01,21296,2.6733941695572083,4.859914323698855
1964-04-01,21472,8.345712446534549,5.270382899445991
1964-05-01,21762,12.235122440475998,7.371225577264662
1964-06-01,21779,9.385457381326232,6.660463293990881
