DATE,CPIAUCSL,3m growth rate,12m growth rate
1970-08-01,39.0,4.209955254236486,5.691056910569103
1970-09-01,39.2,4.187919474913704,5.660377358490565
1970-10-01,39.4,5.241367343155456,5.630026809651478
1970-11-01,39.6,6.297320121844452,5.600000000000005
1970-12-01,39.8,6.264455250168166,5.570291777188308
1971-01-01,39.9,5.173589284483637,5.277044854881274
1971-02-01,39.9,3.064912536859543,4.724409448818889
1971-03-01,40.0,2.0252522051322552,4.438642297650142
1971-04-01,40.1,2.020138253530579,4.155844155844157
1971-05-01,40.3,4.0707302165439385,4.404145077720201
1971-06-01,40.5,5.094533691406222,4.381443298969079
1971-07-01,40.6,5.081592010985481,4.370179948586128
1971-08-01,40.7,4.029725453638289,4.358974358974366
1971-09-01,40.8,2.996047651573708,4.081632653061207
1971-10-01,40.9,2.988586535253024,3.8071065989847774
1971-11-01,41.0,2.9811624852858154,3.535353535353525
1971-12-01,41.1,2.973775226159514,3.266331658291466
1972-01-01,41.2,2.9664244850849952,3.2581453634085378
1972-02-01,41.4,3.9599202338768342,3.759398496240607
1972-03-01,41.4,2.9518314793522737,3.499999999999992
1972-04-01,41.5,2.9445886824343903,3.4912718204488824
1972-05-01,41.6,1.9464149618643845,3.2258064516129226
1972-06-01,41.7,2.930209189336419,2.9629629629629672
1972-07-01,41.8,2.92307197635584,2.9556650246305383
1972-08-01,41.9,2.9159694454055973,2.9484029484029284
1972-09-01,42.1,3.8924919811353274,3.1862745098039325
1972-10-01,42.2,3.883046350449471,3.1784841075794823
1972-11-01,42.4,4.859391822465442,3.4146341463414664
1972-12-01,42.5,3.85498249297318,3.406326034063256
1973-01-01,42.7,4.824233700783309,3.6407766990291357
1973-02-01,43.0,5.781664373898732,3.864734299516903
1973-03-01,43.4,8.743472664551444,4.8309178743961345
1973-04-01,43.7,9.701924832258868,5.301204819277117
1973-05-01,43.9,8.63862459675191,5.528846153846145
1973-06-01,44.2,7.579658009335866,5.995203836930463
1973-07-01,44.2,4.655806668905571,5.741626794258381
1973-08-01,45.0,10.405821645055743,7.398568019093088
1973-09-01,45.2,9.361551237822074,7.3634204275534465
1973-10-01,45.6,13.284448115955794,8.056872037914697
1973-11-01,45.9,8.243215999999997,8.25471698113207
1973-12-01,46.3,10.095666469515097,8.94117647058823
1974-01-01,46.8,10.949165905725032,9.601873536299754
1974-02-01,47.3,12.770062414766723,9.999999999999986
1974-03-01,47.8,13.602430307367142,10.138248847926267
1974-04-01,48.1,11.582706999695214,10.068649885583515
1974-05-01,48.6,11.455245828700257,10.70615034168565
1974-06-01,49.0,10.4263541454805,10.859728506787313
1974-07-01,49.3,10.35890218685893,11.538461538461519
1974-08-01,49.9,11.136599783775992,10.888888888888882
1974-09-01,50.6,13.714997787434434,11.946902654867241
1974-10-01,51.0,14.523082056495262,11.842105263157897
1974-11-01,51.5,13.45580815461176,12.200435729847502
1974-12-01,51.9,10.679544727949231,12.095032397408211
1975-01-01,52.3,10.592595609502188,11.752136752136755
1975-02-01,52.6,8.821337757098524,11.205073995771686
1975-03-01,52.8,7.118938099708627,10.460251046025103
1975-04-01,53.0,5.462174798585395,10.187110187110182
1975-05-01,53.1,3.85684079186559,9.259259259259256
1975-06-01,53.5,5.409423459470819,9.183673469387754
1975-07-01,54.0,7.763468412128494,9.533468559837743
1975-08-01,54.2,8.547309128201874,8.617234468937895
1975-09-01,54.6,8.481440319306444,7.905138339920947
1975-10-01,54.9,6.8351929012345325,7.647058823529407
1975-11-01,55.3,8.368579103482855,7.37864077669903
1975-12-01,55.6,7.5297399506619955,7.129094412331405
1976-01-01,55.8,6.720393510224487,6.692160611854692
1976-02-01,55.9,4.411108445114276,6.273764258555126
1976-03-01,56.0,2.908901344317427,6.060606060606055
1976-04-01,56.1,2.1679429248508963,5.849056603773595
1976-05-01,56.4,3.6261073327672255,6.214689265536721
1976-06-01,56.7,5.094533691406222,5.981308411214958
1976-07-01,57.0,6.573192989345666,5.555555555555558
1976-08-01,57.3,6.537394635146221,5.719557195571956
1976-09-01,57.6,6.501983976218795,5.494505494505497
1976-10-01,57.9,6.466954750193765,5.464480874316946
1976-11-01,58.1,5.702690486165207,5.063291139240511
1976-12-01,58.4,5.672371690910283,5.035971223021574
1977-01-01,58.7,5.642373501768527,5.197132616487465
1977-02-01,59.3,8.521114156751942,6.082289803220031
1977-03-01,59.6,8.475997025660886,6.428571428571428
1977-04-01,60.0,9.157252662961746,6.951871657754016
1977-05-01,60.2,6.210435982220397,6.737588652482285
1977-06-01,60.5,6.178469181540658,6.701940035273357
1977-07-01,60.8,5.440951308641928,6.666666666666665
1977-08-01,61.1,6.115512510326959,6.631762652705064
1977-09-01,61.3,5.395094956480961,6.423611111111094
1977-10-01,61.6,5.367950220033668,6.390328151986191
1977-11-01,62.0,6.023446331382232,6.712564543889843
1977-12-01,62.3,6.68670164318379,6.67808219178081
1978-01-01,62.7,7.336471538551614,6.814310051107331
1978-02-01,63.0,6.609385438988391,6.2394603709949426
1978-03-01,63.4,7.251863032234884,6.375838926174482
1978-04-01,63.9,7.878095146755881,6.499999999999995
1978-05-01,64.5,9.869376700037492,7.14285714285714
1978-06-01,65.0,10.483238293249665,7.438016528925617
1978-07-01,65.5,10.398142775848406,7.7302631578947345
1978-08-01,65.9,8.968958450782583,7.855973813420625
1978-09-01,66.5,9.555240012604571,8.482871125611746
1978-10-01,67.1,10.134879435027088,8.92857142857142
1978-11-01,67.5,10.071132013348285,8.870967741935477
1978-12-01,67.9,8.690732575716908,8.988764044943842
1979-01-01,68.5,8.610598101529066,9.250398724082931
1979-02-01,69.2,10.46108035882818,9.84126984126985
1979-03-01,69.9,12.312890864439584,10.252365930599371
1979-04-01,70.6,12.838295765340192,10.485133020344284
1979-05-01,71.4,13.33615354756954,10.697674418604652
1979-06-01,72.2,13.825636443260937,11.076923076923073
1979-07-01,73.0,14.306949855202976,11.45038167938932
1979-08-01,73.7,13.521234256918424,11.836115326251884
1979-09-01,74.4,12.756854434900887,11.879699248120312
1979-10-01,75.2,12.610768397944083,12.071535022354718
1979-11-01,76.0,13.079640126510238,12.592592592592599
1979-12-01,76.9,14.13362655123962,13.254786450662737
1980-01-01,78.0,15.746281701739283,13.868613138686126
1980-02-01,79.0,16.74922223298625,14.161849710982644
1980-03-01,80.1,17.71307507437836,14.592274678111572
1980-04-01,80.9,15.72193200545209,14.589235127478762
1980-05-01,81.7,14.387840456865783,14.425770308123242
1980-06-01,82.5,12.53451145093154,14.265927977839322
1980-07-01,82.6,8.674112668246226,13.15068493150684
1980-08-01,83.2,7.548678661634223,12.890094979647216
1980-09-01,83.9,6.962624159363107,12.768817204301076
1980-10-01,84.7,10.563926109818864,12.632978723404253
1980-11-01,85.6,12.047392293304204,12.631578947368416
1980-12-01,86.4,12.462342844140984,12.353706111833551
1981-01-01,87.2,12.339451322838467,11.794871794871797
1981-02-01,88.0,11.695487995878228,11.392405063291132
1981-03-01,88.6,10.58084840424296,10.611735330836458
1981-04-01,89.1,9.00461276028377,10.135970333745359
1981-05-01,89.7,7.954085701280045,9.79192166462668
1981-06-01,90.5,8.857768976506076,9.696969696969692
1981-07-01,91.5,11.217610513741992,10.774818401937058
1981-08-01,92.2,11.623056936271592,10.817307692307686
