DATE,INDPRO,3m growth rate,12m growth rate
1952-10-01,18.6325,54.090484800998254,10.350076103500783
1952-11-01,19.0089,30.09048468669629,11.690257531155801
1952-12-01,19.1164,15.392007068509695,11.616881145339475
1953-01-01,19.1702,12.05263035213282,10.714409471556463
1953-02-01,19.2778,5.779604100544566,10.648238494828565
1953-03-01,19.4391,6.925226363201253,11.230573802384924
1953-04-01,19.5198,7.496637308373599,12.733468091250355
1953-05-01,19.6273,7.451470008030059,14.42021254889616
1953-06-01,19.5466,2.230453453936043,15.031425813893273
1953-07-01,19.7886,5.623079484374771,18.32810117499326
1953-08-01,19.6811,1.100948366051102,10.5741895612113
1953-09-01,19.2778,-5.388271140688305,4.51901129346195
1953-10-01,19.1165,-12.909006478016115,2.5976116999865795
1953-11-01,18.6594,-19.20337371558275,-1.8386124394362602
1953-12-01,18.2023,-20.51682804473868,-4.781758071603425
1954-01-01,18.0679,-20.201047914020155,-5.750070421800501
1954-02-01,18.1217,-11.037895712173306,-5.997053605701885
1954-03-01,18.0141,-4.072040735947191,-7.330586292575281
1954-04-01,17.9066,-3.523438449666816,-8.264428938821089
1954-05-01,18.0141,-2.3539834326304354,-8.219164123440326
1954-06-01,18.0679,1.199982119890275,-7.564998516366018
1954-07-01,18.0948,4.270779317915952,-8.559473636336069
1954-08-01,18.0679,1.199982119890275,-8.196696322868124
1954-09-01,18.0948,0.5968625876613398,-6.1365923497494475
1954-10-01,18.3099,4.840417213985204,-4.219391625035962
1954-11-01,18.6056,12.4459988480494,-0.2883265271123481
1954-12-01,18.8476,17.70883893614461,3.5451563813364118
1955-01-01,19.2778,22.88135501010151,6.696406333884952
1955-02-01,19.5198,21.15092512349119,7.715059845378747
1955-03-01,19.9768,26.20584287741803,10.895354194769657
1955-04-01,20.2188,21.001742393310053,12.912557381077372
1955-05-01,20.5414,22.636205425705437,14.029565729067794
1955-06-01,20.5684,12.382412735935455,13.839461143796438
1955-07-01,20.7297,10.497019267480368,14.561642018701516
1955-08-01,20.7028,3.1801578659600205,14.583321802755144
1955-09-01,20.8372,5.330804799015554,15.155735349382148
1955-10-01,21.1867,9.114181757128549,15.711718796934981
1955-11-01,21.2405,10.80072360649682,14.16186524487253
1955-12-01,21.3212,9.619832777782689,13.124217406990812
1956-01-01,21.4556,5.174241217204623,11.29693222255652
1956-02-01,21.2674,0.5075425598556116,8.952960583612523
1956-03-01,21.2674,-1.005510219047101,6.460494173240949
1956-04-01,21.4287,-0.5005584254021977,5.984034660810722
1956-05-01,21.2405,-0.5049795736009832,3.40337075369741
1956-06-01,21.0523,-3.9846646565519728,2.352638027265108
1956-07-01,20.407,-17.75048253970678,-1.5567036667197387
1956-08-01,21.2405,0.0,2.5972332244913687
1956-09-01,21.7245,13.396841528748226,4.258249668861458
1956-10-01,21.9127,32.94344053858636,3.426678057460597
1956-11-01,21.7245,9.430961666316009,2.278665756455811
1956-12-01,22.0471,6.073458430483414,3.4045926120481074
1957-01-01,21.9665,0.9857016053758992,2.3811965174593164
1957-02-01,22.1816,8.685677944284853,4.298597853992492
1957-03-01,22.1547,1.9665220797244527,4.172113187319559
1957-04-01,21.8589,-1.9449977375273209,2.0075879544722675
1957-05-01,21.7782,-7.078449114328612,2.5314846637320088
1957-06-01,21.832,-5.700238052564954,3.703633332224987
1957-07-01,21.9665,1.9835782903976584,7.641985593178813
1957-08-01,21.9665,3.503618182028867,3.4179986346837277
1957-09-01,21.7783,-0.9802527754400048,0.2476466662063581
1957-10-01,21.4556,-8.983695754417509,-2.0860049195215558
1957-11-01,20.9448,-17.346468981959895,-3.589035420838216
1957-12-01,20.5414,-20.85485947633613,-6.82946963546226
1958-01-01,20.165,-21.975633803402594,-8.201124439487407
1958-02-01,19.7349,-21.18028690976149,-11.030313412918813
1958-03-01,19.4929,-18.906571735550397,-12.014606381490156
1958-04-01,19.1702,-18.320387267192228,-12.300252986197835
1958-05-01,19.3584,-7.415535892546021,-11.111111111111105
1958-06-01,19.8693,7.95044799662421,-8.99001465738366
1958-07-01,20.165,22.42957165715545,-8.201124439487407
1958-08-01,20.5683,27.44293212890625,-6.365146928277143
1958-09-01,20.7566,19.09529271010011,-4.691367094768662
1958-10-01,20.9985,17.587236815023786,-2.1304461306139166
1958-11-01,21.6169,22.005683316254142,3.208911042358964
1958-12-01,21.6438,18.22496229785857,5.366722813440172
1959-01-01,21.9665,19.754093786744995,8.933796181502608
1959-02-01,22.3966,15.227123521860598,13.487273814409996
1959-03-01,22.7193,21.40756154133632,16.551667530228965
1959-04-01,23.2032,24.49390072399882,21.037860846522193
1959-05-01,23.5528,22.30432145318561,21.667079923960664
1959-06-01,23.5797,16.030807928974976,18.67403481753258
1959-07-01,23.015,-3.205120584381871,14.133399454500385
1959-08-01,22.2353,-20.56684796809093,8.104704812745812
1959-09-01,22.2084,-21.31064551726885,6.9944017806384595
1959-10-01,22.0471,-15.790328945039445,4.993690025478004
1959-11-01,22.1816,-0.9625375583941164,2.612307962751359
1959-12-01,23.5528,26.503078099434816,8.820077805191339
1960-01-01,24.1712,44.47308935059575,10.036646712038788
1960-02-01,23.9561,36.04825994355396,6.9631104721252335
1960-03-01,23.741,3.2347368421187017,4.497057567794771
1960-04-01,23.5528,-9.847592372094116,1.5066887325886125
1960-05-01,23.5259,-6.991954628059571,-0.11421147379505614
1960-06-01,23.2301,-8.333999012330938,-1.482631246368693
1960-07-01,23.1495,-6.675368460248777,0.5844014772974138
1960-08-01,23.1226,-6.682804401305342,3.990501589814399
1960-09-01,22.8806,-5.883597602410362,3.026782658813776
1960-10-01,22.8537,-5.013993835913999,3.658531053970804
1960-11-01,22.5311,-9.846432910755851,1.5756302521008347
1960-12-01,22.1009,-12.949713891982029,-6.164447539146101
1961-01-01,22.1278,-12.112550503186323,-8.45386244787184
1961-02-01,22.1009,-7.421474887697976,-7.74416536915441
1961-03-01,22.2353,2.454758815892899,-6.34219283096753
1961-04-01,22.6924,10.603474811288937,-3.6530688495635455
1961-05-01,23.0419,18.149887340616043,-2.057307053077684
1961-06-01,23.3646,21.916202876003226,0.5789901894524663
1961-07-01,23.6334,17.647607859822823,2.0903259249659856
1961-08-01,23.8485,14.754869556841443,3.13935284094351
1961-09-01,23.8217,8.058168609849181,4.113091439909788
1961-10-01,24.2787,11.37735318116504,6.235314194200514
1961-11-01,24.6551,14.230689917519744,9.426969832808885
1961-12-01,24.8702,18.80264422611111,12.53025894873061
1962-01-01,24.6551,6.347028187660042,11.421379441245861
1962-02-01,25.0584,6.705370107843112,13.38180798067048
1962-03-01,25.1929,5.292039999693587,13.301372142494161
1962-04-01,25.2466,9.94728857670395,11.255750824064448
1962-05-01,25.2197,2.599752855707216,9.451477525724883
1962-06-01,25.166,-0.4264208804587888,7.709954375422656
1962-07-01,25.4079,2.580187559917646,7.5084414430424795
1962-08-01,25.4348,3.4555141840030723,6.651571377654775
1962-09-01,25.5962,7.015136725317506,7.4490905351003445
1962-10-01,25.6231,3.4312087847893302,5.537364026904235
1962-11-01,25.7306,4.733675707186147,4.362180644166913
1962-12-01,25.7306,2.116912158738482,3.4595620461435717
1963-01-01,25.9188,4.6966717554219,5.125511557446538
1963-02-01,26.2146,7.739086173724874,4.614021645436273
1963-03-01,26.3759,10.415360962494823,4.695767458291811
1963-04-01,26.6179,11.23349791860726,5.431622475897746
1963-05-01,26.9405,11.544886389258702,6.823237389818271
1963-06-01,27.0212,10.151236701100627,7.371850909957889
1963-07-01,26.9136,4.51822300296405,5.92610959583435
1963-08-01,26.9674,0.3999972705362342,6.0256027175366045
1963-09-01,27.2362,3.220873674272351,6.407201068908663
1963-10-01,27.4245,7.812148139280861,7.030374935117134
1963-11-01,27.5589,9.066457616698887,7.105547480431862
1963-12-01,27.5051,4.008026164049006,6.896457913923504
1964-01-01,27.7471,4.7889585592922,7.053953115113343
1964-02-01,27.9353,5.576155389502246,6.563899506381943
1964-03-01,27.9353,6.4046103336592,5.912215317771152
1964-04-01,28.3924,9.63217291840419,6.666566483456626
1964-05-01,28.5537,9.153134213670857,5.988010615987083
1964-06-01,28.6344,10.392353172298227,5.970127159415561
1964-07-01,28.8226,6.199922348755638,7.093068188573826
1964-08-01,29.0108,6.558782813353004,7.57729703271357
1964-09-01,29.1183,6.932991113798104,6.910288513081864
1964-10-01,28.715,-1.4849314450896878,4.705646411055819
1964-11-01,29.6023,8.408416853482992,7.41466459111213
1964-12-01,29.9518,11.950914032856796,8.895441209084854
1965-01-01,30.2744,23.55686956253158,9.108339249867559
1965-02-01,30.4627,12.14289198803713,9.04733437621934
1965-03-01,30.866,12.779379016282476,10.491027481358707
1965-04-01,31.0004,9.942855225396796,9.18555669827137
1965-05-01,31.2424,10.637914182733343,9.416292809688409
1965-06-01,31.4844,8.258069413012414,9.953063448160272
1965-07-01,31.7801,10.44647190318404,10.26104515206816
1965-08-01,31.9145,8.88664723003274,10.009031119445178
1965-09-01,31.9952,6.649207273847324,9.88004107382643
1965-10-01,32.3179,6.942785897949033,12.547100818387612
1965-11-01,32.4523,6.912811206517677,9.627630285484589
1965-12-01,32.8556,11.19833723347272,9.694909821780339
1966-01-01,33.1782,11.080736834208247,9.591602145707245
1966-02-01,33.3933,12.11285911081468,9.620289731376408
1966-03-01,33.8504,12.672416723874004,9.668891336745933
1966-04-01,33.9042,9.044237998129567,9.366975909988273
1966-05-01,34.2268,10.364101507322566,9.552403144444721
1966-06-01,34.3881,6.506841090153936,9.222662651980041
1966-07-01,34.5763,8.168315301927054,8.798587795507263
1966-08-01,34.6032,4.471989000589494,8.424697237932598
1966-09-01,34.9259,6.403937846678676,9.159811471720758
1966-10-01,35.1678,7.020440164564668,8.818332874351364
1966-11-01,34.9258,3.7816089279881338,7.621955916837941
1966-12-01,35.0065,0.9262975112642956,6.5465247933381265
1967-01-01,35.1716,0.0432283617251227,6.008161985882299
1967-02-01,34.7727,-1.7419357588335904,4.130768747024094
1967-03-01,34.5767,-4.821380534831032,2.14561718620756
1967-04-01,34.9028,-3.0221451641760377,2.9453578022781812
1967-05-01,34.5983,-1.9911291936763773,1.0854067572779291
1967-06-01,34.594,0.2002850251731747,0.5987536386133474
1967-07-01,34.5152,-4.368602487079509,-0.17671063705486656
1967-08-01,35.1765,6.854166872898149,1.6567831876820538
1967-09-01,35.1194,6.214846528293005,0.5540301037339157
1967-10-01,35.4054,10.722643001282828,0.6756180369542619
1967-11-01,35.9118,8.627101645216273,2.823127888265975
1967-12-01,36.2985,14.12120907363521,3.6907431477011254
1968-01-01,36.2595,10.004188924567758,3.0931205859273003
1968-02-01,36.3894,5.426765982976289,4.649336979872154
1968-03-01,36.503,2.2726523787345965,5.571092672233036
1968-04-01,36.5558,3.3089448740935223,4.7360097184180106
1968-05-01,36.9659,6.4891983959235455,6.843110788680362
1968-06-01,37.1017,6.723732118938086,7.2489449037405285
1968-07-01,37.0448,5.459048185338133,7.3289449286111585
1968-08-01,37.1482,1.9872691043185895,5.6051625374895275
1968-09-01,37.2889,2.033562598719452,6.177497337653826
1968-10-01,37.3629,3.479254792386377,5.5288176379874265
1968-11-01,37.8462,7.730337429644596,5.386530332648332
1968-12-01,37.9657,7.460129154764017,4.5930272600796185
1969-01-01,38.1954,9.214911932246794,5.339014603069536
1969-02-01,38.4398,6.422965684781623,5.634607880316778
1969-03-01,38.7412,8.424300344926827,6.131550831438504
1969-04-01,38.5987,4.290911122084107,5.588442873634292
1969-05-01,38.4528,0.1353450976781856,4.0223557386672715
1969-06-01,38.8285,0.9044172946503392,4.654234172558125
1969-07-01,39.0334,4.581487989840705,5.368094847319993
1969-08-01,39.1231,7.157151965903097,5.316273736008736
1969-09-01,39.1143,2.976895735071494,4.895290555634535
1969-10-01,39.1258,0.9502488892599414,4.71831683300814
1969-11-01,38.757,-3.69084487796798,2.4065824309970285
1969-12-01,38.653,-4.634656515368263,1.8103182609566115
1970-01-01,37.9372,-11.608974196757517,-0.6759976332228579
1970-02-01,37.9122,-8.437986351669425,-1.3725357572099695
1970-03-01,37.863,-7.928067455513387,-2.2668373720999835
1970-04-01,37.7656,-1.797066927475388,-2.1583628464171167
1970-05-01,37.7216,-1.995848050092619,-1.9015520326218116
1970-06-01,37.5996,-2.753761180258374,-3.164943276201748
1970-07-01,37.6919,-0.7783225046444797,-3.436800278735652
1970-08-01,37.6247,-1.023575469031579,-3.829962349609317
1970-09-01,37.3654,-2.4683336896122343,-4.471254758489862
1970-10-01,36.6179,-10.919711191149329,-6.4098369873587195
1970-11-01,36.3961,-12.43567276075116,-6.09154475320588
1970-12-01,37.232,-1.4204297261241838,-3.6762993816780054
1971-01-01,37.5184,10.205558510714162,-1.1039296521619835
1971-02-01,37.4469,12.058314369565636,-1.2273094149112929
1971-03-01,37.4063,1.8857734348891373,-1.20619074030055
1971-04-01,37.6164,1.0489214963360416,-0.395068527972553
1971-05-01,37.8073,3.90565154185758,0.2271907872412493
1971-06-01,37.9658,6.118526737983232,0.9739465313460816
1971-07-01,37.8556,2.567936019667383,0.43431082009663946
1971-08-01,37.6359,-1.801111973449654,0.029767679210745968
1971-09-01,38.2476,3.002207586541972,2.3610077772484583
1971-10-01,38.5339,7.362181642700305,5.23241365561653
1971-11-01,38.6974,11.768114055181876,6.32293020406034
1971-12-01,39.1441,9.710575644271536,5.135636012032663
1972-01-01,40.0823,17.068127779747577,6.83371359119791
1972-02-01,40.485,19.7979614518909,8.113088132796031
1972-03-01,40.7718,17.699411616307703,8.99714753931824
1972-04-01,41.1759,11.36837046141066,9.462628002679674
1972-05-01,41.1792,7.03727555353324,8.918647985970974
1972-06-01,41.2864,5.144975173433419,8.746292716076054
1972-07-01,41.2475,0.6973688243526954,8.960101015437605
1972-08-01,41.8173,6.343838721764117,11.110136864004861
1972-09-01,42.1375,8.504312264704627,10.17031133979649
1972-10-01,42.6806,14.63877573165906,10.761173927373036
1972-11-01,43.1838,13.725922789806887,11.593543752293423
1972-12-01,43.669,15.350086744083358,11.559596465367683
1973-01-01,43.9874,12.821301611617052,9.742704385726375
1973-02-01,44.6275,14.058278201794172,10.232184759787577
1973-03-01,44.6439,9.23341694764559,9.497005283063299
1973-04-01,44.5779,5.478817523606017,8.262114489300787
1973-05-01,44.8726,2.215016163175343,8.969091191669577
1973-06-01,44.9269,2.5598329672337217,8.817673616493572
1973-07-01,45.0921,4.69439299337564,9.320807321655856
1973-08-01,45.0305,1.4149872909664296,7.6839011605244645
1973-09-01,45.3912,4.198350878012236,7.721625630376727
1973-10-01,45.7542,6.003942801607476,7.2013982933698095
1973-11-01,45.9606,8.521473414038528,6.430189098689798
1973-12-01,45.8321,3.942311413187261,4.953399436671324
1974-01-01,45.5297,-1.9482633964787557,3.5062313298808157
1974-02-01,45.3982,-4.805517629703027,1.7269620749537973
1974-03-01,45.3907,-3.797026857612773,1.6727929235573091
1974-04-01,45.253,-2.408869808860148,1.514427552666242
1974-05-01,45.6185,1.955220608894548,1.6622616028489468
1974-06-01,45.5354,1.281261584846849,1.3544224061753596
1974-07-01,45.6196,3.280038133137841,1.169827974301474
1974-08-01,45.1411,-4.120767869600472,0.24561130789131358
1974-09-01,45.1475,-3.3641651475697643,-0.536888207405839
1974-10-01,45.0063,-5.270040634323225,-1.6346040363507508
1974-11-01,43.5222,-13.591829435566394,-5.305413767444289
1974-12-01,41.9572,-25.40818662250439,-8.454554777110356
1975-01-01,41.3766,-28.56254721119073,-9.121738118195367
1975-02-01,40.4317,-25.51914607681488,-10.93986105175977
1975-03-01,39.9919,-17.460438140413036,-11.89406640567341
1975-04-01,40.066,-12.080594446829076,-11.46222349899454
1975-05-01,39.9521,-4.661033541822313,-12.421276455823838
1975-06-01,40.2049,2.1475121945283338,-11.706276874695298
1975-07-01,40.6187,5.633126009750855,-10.962174153214853
1975-08-01,41.0204,11.132508053368472,-9.128488229130438
1975-09-01,41.5526,14.097694331629327,-7.962567141037713
1975-10-01,41.7303,11.404298595773188,-7.278980942668034
1975-11-01,41.7882,7.699849024406391,-3.9841735941657186
1975-12-01,42.3527,7.927370091645125,0.9426272487201182
1976-01-01,42.9179,11.87880695842647,3.7250523242605693
1976-02-01,43.3469,15.775727111296732,7.2101840882278
1976-03-01,43.4396,10.667184774620852,8.620995751639704
1976-04-01,43.6562,7.060647960780342,8.960714820546078
1976-05-01,43.842,4.647595839940877,9.736409350196862
1976-06-01,43.8892,4.204719464263063,9.163808391514472
1976-07-01,44.1328,4.438880226945541,8.651433945448783
1976-08-01,44.4373,5.542948539861925,8.329757876568733
1976-09-01,44.5848,6.491913900627599,7.297256970682953
1976-10-01,44.5707,4.028393382828055,6.80656501391077
1976-11-01,45.2543,7.559494491631891,8.294446757697148
1976-12-01,45.7422,10.795188963885805,8.003031683930416
1977-01-01,45.4293,7.93103965286166,5.851637661674958
1977-02-01,46.1459,8.116773381951493,6.45720916605339
1977-03-01,46.7314,8.93488374420901,7.577878249339309
1977-04-01,47.188,16.40780572918612,8.090030740192699
1977-05-01,47.552,12.75678086760248,8.462205191368998
1977-06-01,47.9155,10.527139276880204,9.173783071917452
1977-07-01,47.9773,6.860433538691235,8.711207990428882
1977-08-01,48.0266,4.052427836435935,8.077223413663749
1977-09-01,48.2179,2.548442848003596,8.148741275053384
1977-10-01,48.295,2.675178567076575,8.355937869497222
1977-11-01,48.3823,2.995599817183669,6.9120503465968985
1977-12-01,48.4679,2.090103699530066,5.958830139346172
1978-01-01,47.7604,-4.354808720037284,5.131269907306524
1978-02-01,48.0271,-2.904430284927906,4.076635194025902
1978-03-01,48.9459,4.003621381467037,4.738783772795174
1978-04-01,49.9198,19.34920354909948,5.78918369076884
1978-05-01,50.1602,18.984826969267488,5.484942799461656
1978-06-01,50.4826,13.16225227358292,5.357556531811203
1978-07-01,50.4464,4.286806811899036,5.146392147953294
1978-08-01,50.6531,3.988923058830785,5.468844348756741
1978-09-01,50.7724,2.3160851394204984,5.297825081556851
1978-10-01,51.1649,5.820010891091343,5.94243710529041
1978-11-01,51.5582,7.341304542107174,6.564177395452475
1978-12-01,51.8153,8.47291129991985,6.906426727793025
1979-01-01,51.5359,2.9321254162806065,7.905084547030605
1979-02-01,51.7994,1.8844557083628863,7.854523800104518
1979-03-01,51.9544,1.0781458867279214,6.146582246929766
1979-04-01,51.334,-1.557878164080606,2.832944042243768
1979-05-01,51.7922,-0.0555875084530588,3.2535755439571545
1979-06-01,51.7961,-1.2132022037658063,2.601886590627278
1979-07-01,51.7124,2.981295572992493,2.5095943417171584
1979-08-01,51.3766,-3.171321643696823,1.42834298394372
1979-09-01,51.3741,-3.21932109956038,1.1850926881534107
1979-10-01,51.7268,0.1114318107195977,1.098213814548643
1979-11-01,51.6422,2.083958093472593,0.16292267767299418
1979-12-01,51.6763,2.3737792972109206,-0.26826053308579567
1980-01-01,51.9545,1.7724499571827756,0.8122493252276763
1980-02-01,51.9779,2.625662997659095,0.3445985860839995
1980-03-01,51.7565,0.6222341388955943,-0.38091095268157904
1980-04-01,50.7369,-9.049930429477527,-1.1631667121206335
1980-05-01,49.49,-17.814557415204547,-4.445070879398827
1980-06-01,48.8505,-20.63729648218932,-5.686914651875341
1980-07-01,48.4997,-16.50499503173739,-6.212629852801276
1980-08-01,48.6554,-6.5768785413394815,-5.2965747052159955
1980-09-01,49.4677,5.150373680109399,-3.710819264960352
1980-10-01,50.0947,13.817989919060558,-3.1552309441140625
1980-11-01,50.9311,20.06268053147837,-1.3769746447672704
1980-12-01,51.2644,15.339122163226682,-0.797077190123896
1981-01-01,50.9453,6.966891586070823,-1.9424688910488985
1981-02-01,50.7332,-1.5452211503745206,-2.3946715815760244
1981-03-01,50.9922,-2.10703491874763,-1.4767227304783082
1981-04-01,50.778,-1.3071094244220816,0.08100613163199988
1981-05-01,51.0667,2.6554830423479725,3.18589614063447
1981-06-01,51.3355,2.7202782924632407,5.086948956510184
1981-07-01,51.6646,7.16918308945218,6.525607374890985
1981-08-01,51.6049,4.282776834138291,6.0620198374692125
1981-09-01,51.3527,0.1340876877909735,3.810567299470158
1981-10-01,50.9581,-5.3587164636341615,1.7235356235290267
