DATE,DTWEXM,3m growth rate,12m growth rate
1981-09-23,107.3916,9.199993132146966,15.319838926174501
1981-09-24,107.9704,11.350951408756238,15.850430427229734
1981-09-25,108.2119,13.113983919913052,16.17437552404233
1981-09-28,108.99,13.55256392692754,17.351278600269172
1981-09-29,108.3396,11.388158637936607,16.810586955420128
1981-09-30,108.6599,10.976201458856185,16.979354728969586
1981-10-01,108.5712,9.34664659307838,16.92011462502947
1981-10-02,108.0707,9.17364151096811,16.29258581728181
1981-10-05,106.692,3.2231493135580718,14.482168092167736
1981-10-06,107.5398,6.717113837223887,15.655832381542357
1981-10-07,106.6119,0.0228900250618613,14.007693056252135
1981-10-08,106.3094,-0.818666403996926,13.278883294706834
1981-10-09,105.7062,-8.79718355826542,13.296863243594315
1981-10-13,106.6431,-6.282853749332995,14.161795876421102
1981-10-14,106.8247,-4.841559234228454,14.611890272687479
1981-10-15,107.141,-3.729099013539283,14.541283226711377
1981-10-16,107.4739,1.2361796463856043,15.158544856841916
1981-10-19,107.5367,-1.1778238899698867,15.654115397397096
1981-10-20,107.7288,1.0392915693098417,15.780649487993003
1981-10-21,108.4863,10.25953133545836,16.778005502714755
1981-10-22,108.656,10.57623770974503,17.26944039717231
1981-10-23,108.3369,8.935082301057683,16.6179399132391
1981-10-26,109.5204,11.004431415889917,17.988683814752406
1981-10-27,109.2301,8.72948368924462,17.64463232720321
1981-10-28,108.8244,9.178326613399502,17.271589891472683
1981-10-29,108.4825,8.945825679526598,17.071573026675058
1981-10-30,107.6835,4.235591849720977,15.91334768568351
1981-11-02,106.6328,-2.648257332094428,14.634148963503591
1981-11-04,106.2099,-4.121671782304615,13.860042388007866
1981-11-05,106.6085,-3.05234975541252,13.982848338987486
1981-11-06,106.5092,-4.391042654663002,13.980142414714901
1981-11-09,105.8467,-8.937258851986407,13.024670792702997
1981-11-10,106.7648,-5.364582609565338,13.905173618631128
1981-11-12,105.8887,-9.14297627209615,12.592335035689949
1981-11-13,105.9076,-10.943367866412078,12.08066689031806
1981-11-16,105.8576,-10.42718706636342,11.72541900620594
1981-11-17,106.0334,-12.22477192701975,12.539655079087275
1981-11-18,105.227,-14.374517734488368,11.301384352417543
1981-11-19,105.2035,-12.694492883438835,11.1243146065517
1981-11-20,105.3234,-11.744060722994988,11.03843733098866
1981-11-23,105.0546,-15.309002787097016,10.062210451104336
1981-11-24,104.3683,-15.008823430231788,8.981372517284125
1981-11-25,104.3374,-15.63408113517978,8.634435079572489
1981-11-27,103.869,-18.29024274154173,9.493690901616025
1981-11-30,103.6375,-20.429525547283117,8.881791486969902
1981-12-01,104.1597,-21.04271310825817,9.6413278259881
1981-12-02,103.8554,-20.78106624426309,8.918475325506158
1981-12-03,104.488,-19.80271758610146,8.873307971795974
1981-12-04,104.2684,-19.191789422302584,8.883196518023384
1981-12-07,104.7612,-19.195402854618997,9.73194748931865
1981-12-08,105.0452,-19.178354613332893,9.741362108718388
1981-12-09,105.0835,-19.93870459919829,9.599778054282826
1981-12-10,105.5337,-18.920475294816946,9.891101975533868
1981-12-11,105.9212,-19.736789559264068,10.45977107388374
1981-12-14,106.5968,-23.002013295466902,10.742788516479962
1981-12-15,105.6835,-26.14647142500931,9.561767443982072
1981-12-16,105.8642,-22.99021882460461,9.207365066789631
1981-12-17,105.8462,-22.913876681334667,9.223274421849137
1981-12-18,106.1051,-21.382516007830755,9.952901798436265
1981-12-21,106.1088,-23.231759333302904,10.2925264040862
1981-12-22,105.7318,-23.31179356888782,9.359924867400892
1981-12-23,105.9334,-17.59805368872621,9.980575186279928
1981-12-24,106.1221,-18.495181052233644,9.607962015994676
1981-12-28,106.1051,-19.464160412434484,8.990067075488174
1981-12-29,106.16,-16.02342021065013,8.635031932518578
1981-12-30,105.5122,-16.69359720679643,8.112411611672353
1981-12-31,105.2989,-17.609858670671407,8.338777765317019
1982-01-04,105.1141,-16.26030810213399,7.455776276620085
1982-01-05,105.706,-12.03047553602541,8.817192346375213
1982-01-06,105.3678,-14.985359822649423,8.354705820652097
1982-01-07,105.9815,-16.34838818718872,9.7419165111718
1982-01-08,105.8531,-14.569803744652976,10.012107732840025
1982-01-11,106.7146,-12.25574634944202,11.231604215590952
1982-01-12,106.8849,-9.050072456943935,11.51360679066702
1982-01-13,107.1328,-8.495993538273739,11.750789630699021
1982-01-14,107.4419,-8.702484358647244,12.125259984283554
1982-01-15,107.483,-6.367441827021835,12.851456644012305
1982-01-18,107.3823,-6.121969647972236,12.285821839741518
1982-01-19,107.1086,-6.538230584343108,11.940746190819084
1982-01-20,107.5196,-8.5579558605696,13.799632732333844
1982-01-21,107.3433,-10.286222306889204,13.731724708607175
1982-01-22,107.8464,-4.923242362144952,13.771506275311962
1982-01-25,108.6952,-2.8405931550314567,14.223623371164361
1982-01-26,108.069,-3.498060944160486,13.079791731192625
1982-01-27,108.4234,2.846011785154312,13.104572027055795
1982-01-28,108.6625,4.99583447838392,13.101625707389308
1982-01-29,108.1311,4.542708570363563,12.770712660268767
1982-02-01,109.3285,9.845414367453252,14.101717132817138
1982-02-02,109.5613,15.94562375804065,13.944873217552466
1982-02-03,109.7521,11.434147018260044,14.347616353636283
1982-02-04,109.3506,7.498753848193651,14.317345719473984
1982-02-05,109.5469,5.969656774506027,15.003590355172204
1982-02-08,109.9074,6.416175507213828,14.432757841604072
1982-02-09,110.7438,6.593586744531987,14.861349662708779
1982-02-10,110.5271,8.324374405900038,14.311023499893484
1982-02-11,110.292,6.144829687898379,13.764901137009499
1982-02-16,111.6392,11.791378365272598,14.578481793447295
1982-02-17,111.6448,13.899585127941716,14.230872727681998
1982-02-18,110.459,14.888617530002149,12.105834711918062
1982-02-19,110.1795,10.185967900359438,12.414410903165841
1982-02-22,110.0677,13.610071394122912,11.79152532044121
1982-02-23,110.9395,18.59275239493445,13.278473929700452
1982-02-24,110.8542,20.950248618123247,12.541763747392153
1982-02-25,111.1018,17.802182435684742,12.768747627428656
1982-02-26,111.7849,19.907360542235008,13.484788649175993
1982-03-01,111.8907,18.94691460204849,13.344915262822
1982-03-02,111.6576,16.504076026357527,13.135718157730757
1982-03-03,111.3961,15.147131962251258,10.877194728669814
1982-03-04,111.157,13.349596818382992,10.725282124994639
1982-03-05,110.2837,6.793721921941276,10.105439293783359
1982-03-08,110.4064,6.601212419813485,11.16051291964688
1982-03-09,111.303,11.409407246346449,12.928721880187165
1982-03-10,111.1346,6.027147531181676,11.992462260918657
1982-03-11,111.5821,8.895215246157239,12.289863006530165
1982-03-12,111.9535,12.007106044037542,12.686412426421455
1982-03-15,111.9381,13.3634316598944,12.284722939714898
1982-03-16,112.1951,17.84167545924955,11.908725571263146
1982-03-17,112.0859,22.078920580795124,11.048485052638245
1982-03-18,112.3605,25.25487928997212,11.75812371318592
