DATE,AHETPI,3m growth rate,12m growth rate
1977-09-01,5.51,6.809344374414605,7.198443579766534
1977-10-01,5.55,6.758229235449331,7.558139534883712
1977-11-01,5.58,7.50150932710274,7.101727447216888
1977-12-01,5.61,7.4595579283660784,7.265774378585088
1978-01-01,5.66,8.166752804041554,7.604562737642584
1978-02-01,5.69,8.121551701793738,7.358490566037745
1978-03-01,5.73,8.834614386247974,7.70676691729324
1978-04-01,5.79,9.508676489813816,8.02238805970148
1978-05-01,5.82,9.456831692522094,7.777777777777772
1978-06-01,5.86,9.38857786327132,8.11808118081181
1978-07-01,5.9,7.818625656508327,8.058608058608074
1978-08-01,5.92,7.052025358343284,8.029197080291972
1978-09-01,5.97,7.722608289013055,8.34845735027223
1978-10-01,6.02,8.387180357175094,8.46846846846847
1978-11-01,6.05,9.077373450457916,8.422939068100344
1978-12-01,6.1,8.998875001324013,8.734402852049893
1979-01-01,6.13,7.511750492126223,8.303886925795045
1979-02-01,6.18,8.876061375595645,8.611599297012296
1979-03-01,6.22,8.104108270490752,8.551483420593353
1979-04-01,6.21,5.323310823000305,7.253886010362698
1979-05-01,6.27,5.9537331053854725,7.731958762886593
1979-06-01,6.32,6.5876223146235535,7.849829351535842
1979-07-01,6.36,10.017573444052164,7.7966101694915135
1979-08-01,6.4,8.554975236987538,8.108108108108114
1979-09-01,6.45,8.485212848691814,8.04020100502514
1979-10-01,6.46,6.439201878460898,7.3089700996677776
1979-11-01,6.51,7.054285765290214,7.603305785123959
1979-12-01,6.56,6.998206707809018,7.540983606557372
1980-01-01,6.57,6.987097683720145,7.177814029363794
1980-02-01,6.63,7.579658009335777,7.281553398058249
1980-03-01,6.69,8.165587520108364,7.556270096463025
1980-04-01,6.72,9.449961711482624,8.212560386473422
1980-05-01,6.76,8.076847975396406,7.814992025518341
1980-06-01,6.82,8.002305794892983,7.911392405063289
1980-07-01,6.86,8.597385736159403,7.8616352201257955
1980-08-01,6.91,9.175554339139126,7.968749999999991
1980-09-01,6.95,7.845423378632188,7.751937984496116
1980-10-01,7.02,9.66094540617135,8.668730650154789
1980-11-01,7.09,10.833934674306532,8.909370199692779
1980-12-01,7.13,10.769169876919804,8.689024390243905
