DATE,AWHMAN,3m growth rate,12m growth rate
1955-06-01,40.8,0.986429036122516,2.7707808564231495
1955-07-01,40.7,-0.9767936598388705,2.5188916876574208
1955-08-01,40.7,-3.836480577041868,2.261306532663321
1955-09-01,40.7,-0.9767936598388705,2.0050125313283207
1955-10-01,41.0,2.9811624852858154,3.2745591939546514
1955-11-01,41.1,3.989538444581808,2.493765586034913
1955-12-01,40.9,1.9801379547527365,1.995012468827917
1956-01-01,40.8,-1.936988669600903,0.990099009900991
1956-02-01,40.7,-3.836480577041868,0.24630541871921707
1956-03-01,40.6,-2.9018618817824526,-0.24570024570025328
1956-04-01,40.5,-2.9088957488049294,-0.7352941176470562
1956-05-01,40.4,-2.9159637953019235,-1.7031630170316392
1956-06-01,40.3,-2.92306627099348,-1.225490196078427
1956-07-01,40.3,-1.9607248375550057,-0.982800982801002
1956-08-01,40.3,-0.9864289621503096,-0.982800982801002
1956-09-01,40.5,1.999938121029765,-0.49140049140049546
1956-10-01,40.6,3.011082199148696,-0.9756097560975618
1956-11-01,40.4,0.9962563230582644,-1.7031630170316392
1956-12-01,40.6,0.9913183250357172,-0.7334963325183352
1957-01-01,40.4,-1.9559311804872024,-0.9803921568627416
1957-02-01,40.5,0.9937811900285308,-0.49140049140049546
1957-03-01,40.4,-1.9559311804872024,-0.49261083743843415
1957-04-01,40.0,-3.901965551718378,-1.2345679012345734
1957-05-01,40.0,-4.847572478284723,-0.990099009900991
1957-06-01,40.0,-3.901965551718378,-0.7444168734491274
1957-07-01,40.0,0.0,-0.7444168734491274
1957-08-01,40.0,0.0,-0.7444168734491274
1957-09-01,39.7,-2.966418433593732,-1.975308641975304
1957-10-01,39.4,-5.866344937500001,-2.9556650246305494
1957-11-01,39.2,-7.763183999999967,-2.970297029702962
1957-12-01,39.1,-5.909667658279338,-3.6945812807881784
1958-01-01,38.9,-4.980329955297114,-3.712871287128716
1958-02-01,38.7,-5.005252657023362,-4.444444444444439
1958-03-01,38.8,-3.0339124449800803,-3.960396039603964
1958-04-01,38.9,0.0,-2.750000000000008
1958-05-01,38.9,2.083263421782644,-2.750000000000008
1958-06-01,39.1,3.128838670796741,-2.2499999999999964
1958-07-01,39.3,4.176987853274916,-1.750000000000007
1958-08-01,39.5,6.313882173833196,-1.2499999999999956
1958-09-01,39.5,4.155294906471552,-0.5037783375314908
1958-10-01,39.6,3.08857638029727,0.5076142131979822
1958-11-01,39.9,4.112577947142171,1.7857142857142794
1958-12-01,39.9,4.112577947142171,2.0460358056265893
1959-01-01,40.2,6.199743701308935,3.3419023136247006
1959-02-01,40.3,4.0707302165439385,4.134366925064592
1959-03-01,40.4,5.107541446779096,4.123711340206193
1959-04-01,40.5,3.0186561953550406,4.113110539845755
1959-05-01,40.7,4.029725453638289,4.6272493573264795
1959-06-01,40.6,1.9949510501117595,3.8363171355498826
1959-07-01,40.3,-1.9607248375550057,2.5445292620865034
1959-08-01,40.4,-2.9159637953019235,2.278481012658218
1959-09-01,40.4,-1.9559311804872024,2.278481012658218
1959-10-01,40.1,-1.9703829873650824,1.262626262626254
1959-11-01,39.9,-4.8593482222827,0.0
1959-12-01,40.3,-0.9864289621503096,1.0025062656641603
1960-01-01,40.6,5.081592010985481,0.995024875621886
1960-02-01,40.3,4.0707302165439385,0.0
1960-03-01,40.0,-2.944582807192697,-0.990099009900991
1960-04-01,40.0,-5.781576971327596,-1.2345679012345734
1960-05-01,40.1,-1.9703829873650824,-1.4742014742014753
1960-06-01,39.9,-0.996256246093774,-1.7241379310344862
1960-07-01,39.9,-0.996256246093774,-0.992555831265507
1960-08-01,39.7,-3.930719841269692,-1.732673267326723
