DATE,HTRUCKSSA,3m growth rate,12m growth rate
1978-09-01,37.2,-25.19479899999998,18.849840255591065
1978-10-01,37.9,12.503378650463382,16.975308641975317
1978-11-01,39.1,159.7192640571444,16.369047619047628
1978-12-01,41.6,56.38732927139647,29.19254658385093
1979-01-01,36.3,-15.846988884014367,17.475728155339798
1979-02-01,38.8,-3.0339124449800803,18.29268292682926
1979-03-01,36.3,-42.02334195733353,-3.7135278514588976
1979-04-01,36.5,2.22213743421793,-0.8152173913043348
1979-05-01,34.0,-41.03575177573167,-12.82051282051282
1979-06-01,31.7,-41.84185462230728,-20.75
1979-07-01,33.3,-30.72038330261373,-9.510869565217394
1979-08-01,28.7,-49.22944408442188,-6.818181818181824
1979-09-01,28.3,-36.48026271099648,-23.9247311827957
1979-10-01,31.6,-18.909235199504803,-16.62269129287598
1979-11-01,29.9,17.803221319778963,-23.529411764705888
1979-12-01,24.8,-41.02594625917953,-40.38461538461539
1980-01-01,27.0,-46.70251375728847,-25.619834710743795
1980-02-01,25.7,-45.41821429188205,-33.76288659793815
1980-03-01,23.3,-22.08573810918856,-35.81267217630854
1980-04-01,20.5,-66.76770093011265,-43.83561643835616
1980-05-01,19.1,-69.4928964860156,-43.8235294117647
1980-06-01,22.3,-16.093468626419416,-29.65299684542586
1980-07-01,23.6,75.64369617954252,-29.129129129129115
1980-08-01,24.5,170.7265622139251,-14.634146341463417
1980-09-01,24.1,36.41078812540308,-14.840989399293282
1980-10-01,22.1,-23.10093083464088,-30.0632911392405
1980-11-01,20.2,-53.78944970346764,-32.441471571906355
1980-12-01,18.4,-66.02158457897728,-25.806451612903235
1981-01-01,20.5,-25.963419920022844,-24.07407407407407
1981-02-01,19.6,-11.362232786321824,-23.735408560311278
1981-03-01,20.2,45.25603517935184,-13.30472103004292
1981-04-01,23.2,64.03498956918148,13.170731707317064
1981-05-01,18.2,-25.653373594335715,-4.712041884816765
1981-06-01,17.5,-43.66909650626851,-21.52466367713005
1981-07-01,18.5,-59.5670923322356,-21.610169491525433
1981-08-01,18.7,11.450205655239042,-23.67346938775511
1981-09-01,18.1,14.435851301957593,-24.896265560165975
1981-10-01,17.4,-21.7453633065676,-21.26696832579187
1981-11-01,16.7,-36.39379883185669,-17.32673267326733
1981-12-01,17.2,-18.45459610092949,-6.521739130434778
1982-01-01,17.5,2.318744290973762,-14.634146341463417
1982-02-01,16.6,-2.373781477426073,-15.306122448979586
1982-03-01,16.2,-21.30515749527393,-19.8019801980198
1982-04-01,17.1,-8.834137136193231,-26.293103448275858
1982-05-01,16.9,7.427251930172485,-7.142857142857151
1982-06-01,16.1,-2.446367372557801,-7.9999999999999964
1982-07-01,14.5,-48.300354239671,-21.62162162162162
1982-08-01,14.0,-52.90602767429667,-25.13368983957219
1982-09-01,14.3,-37.76414708607639,-20.994475138121548
1982-10-01,13.2,-31.32103907782058,-24.13793103448275
1982-11-01,13.7,-8.29983314244066,-17.964071856287422
1982-12-01,14.6,8.659392663842347,-15.116279069767435
1983-01-01,14.7,53.8061191602349,-16.000000000000004
1983-02-01,13.9,5.968535505950401,-16.26506024096386
1983-03-01,15.9,40.66209263630103,-1.851851851851849
1983-04-01,13.9,-20.055265963898925,-18.71345029239767
1983-05-01,13.6,-8.357604606840653,-19.526627218934912
1983-06-01,14.6,-28.907640910360843,-9.316770186335411
1983-07-01,15.4,50.66892245821517,6.20689655172415
1983-08-01,16.5,116.66070070747564,17.85714285714286
1983-09-01,16.1,47.87408861872828,12.587412587412583
1983-10-01,17.3,59.25809964065412,31.060606060606077
1983-11-01,18.8,68.53714012990748,37.226277372262786
1983-12-01,18.8,85.92076296267605,28.767123287671236
1984-01-01,17.7,9.574286886841945,20.408163265306122
1984-02-01,20.9,52.74033802427349,50.359712230215806
1984-03-01,20.2,33.28279169273556,27.0440251572327
1984-04-01,21.9,134.3599485069398,57.55395683453235
1984-05-01,23.9,71.00407486778195,75.73529411764706
1984-06-01,23.2,73.99888359069455,58.904109589041084
1984-07-01,25.3,78.1171040022871,64.28571428571428
1984-08-01,22.8,-17.1776051453702,38.18181818181819
1984-09-01,24.7,28.480102223393637,53.41614906832297
1984-10-01,25.0,-4.659384792799948,44.5086705202312
1984-11-01,27.5,111.63689797306992,46.27659574468084
1984-12-01,24.7,0.0,31.382978723404253
1985-01-01,24.8,-3.1618043904000026,40.112994350282506
1985-02-01,24.3,-39.03307105689501,16.267942583732076
1985-03-01,25.8,19.03947718673782,27.722772277227726
