DATE,T10YFF,3m growth rate,12m growth rate
1971-06-21,1.4,-96.8380149816088,-736.3636363636364
1971-06-22,1.37,-96.08547201106656,13600.0
1971-06-23,1.73,-52.14458655369416,-964.9999999999999
1971-06-24,1.48,-75.79433377849605,-1333.3333333333335
1971-06-25,1.49,224.6782216116048,-1454.5454545454545
1971-06-28,1.51,-66.17428167070982,-704.0
1971-06-29,1.54,-77.65960693359375,1183.3333333333335
1971-06-30,1.95,-79.55691408365276,-2537.5
1971-07-01,1.44,-95.79523732456867,-7300.0
1971-07-02,1.44,-98.1603172388262,-7300.0
1971-07-06,1.55,-91.37294314537026,-15600.0
1971-07-07,1.78,-82.70009648556602,54.78260869565219
1971-07-08,1.42,-89.42315867297124,846.6666666666666
1971-07-09,1.55,-84.23890581604542,287.5
1971-07-12,1.47,-92.4030859375,1236.3636363636363
1971-07-13,1.61,-84.10930901240037,103.7974683544304
1971-07-14,1.47,-92.1820992022093,-34.375000000000014
1971-07-15,1.34,-95.18102069826348,13300.0
1971-07-16,1.16,-96.92452018752218,673.3333333333334
1971-07-19,1.08,-95.13835013454069,111.76470588235294
1971-07-20,1.32,-86.80166141276145,-31.606217616580302
1971-07-21,1.2,-67.55584355377069,87.5
1971-07-22,1.29,-54.421478672164135,2480.0
1971-07-23,1.46,-42.96068566788015,508.3333333333333
1971-07-26,1.61,-66.10203062934387,387.8787878787879
1971-07-27,1.53,34.77593262130125,212.24489795918367
1971-07-28,1.57,-36.678974700587965,-15800.0
1971-07-29,1.38,-79.05908394296046,-1633.3333333333333
1971-07-30,1.35,-79.2405859375,2600.0
1971-08-02,1.23,-69.8568875571894,-1330.0
1971-08-03,1.28,-66.3021066325245,-1014.2857142857142
1971-08-04,1.14,-81.14463287327314,-493.1034482758621
1971-08-05,1.23,-42.09127604857776,-2560.0
1971-08-06,1.23,128.88664099999997,272.7272727272727
1971-08-09,1.38,222.23109475260333,97.14285714285712
1971-08-10,1.26,-59.556025056790006,-11.888111888111885
1971-08-11,1.36,-60.912144345342114,1842.8571428571427
1971-08-12,1.17,-73.45437045353323,1200.0
1971-08-13,1.05,-63.40496875476299,72.13114754098362
1971-08-16,0.91,-88.99633851210733,0.0
1971-08-17,0.67,-95.91159286860857,-51.79856115107913
1971-08-18,0.85,-89.12000135493963,123.6842105263158
1971-08-19,0.84,-77.52613221544289,33.33333333333333
1971-08-20,0.87,-96.55910410868012,123.07692307692308
1971-08-23,0.98,-77.31436578320026,144.99999999999997
1971-08-24,0.88,-90.12966077152568,417.64705882352933
1971-08-25,1.02,-84.6661832285296,137.2093023255814
1971-08-26,0.87,-95.00189105361952,52.63157894736843
1971-08-27,0.83,-93.75,33.87096774193547
1971-08-30,0.69,-97.69057800621768,4.545454545454541
1971-08-31,0.53,-99.36835642726952,-55.08474576271186
1971-09-01,0.47,-99.6950199375,-43.37349397590361
1971-09-02,0.54,-99.468559,-41.30434782608695
1971-09-03,0.37,-99.72106475569711,-65.74074074074075
1971-09-07,0.32,-99.9044315898335,-69.52380952380952
1971-09-08,0.33,-99.89425705524135,-76.42857142857142
1971-09-09,0.38,-99.78755754034984,-62.37623762376238
1971-09-10,0.37,-99.72788853650432,-69.67213114754098
1971-09-13,0.57,-97.0893963000418,-53.65853658536586
1971-09-14,0.8,-92.52529211850944,-39.849624060150376
1971-09-15,1.04,-83.01469698470181,-13.33333333333333
1971-09-16,0.64,-98.08307064377249,-41.81818181818182
1971-09-17,0.69,-97.63764211465636,-44.35483870967742
1971-09-20,0.77,-96.99893095630526,-22.22222222222222
1971-09-21,0.67,-98.66206718344912,-6.94444444444443
1971-09-22,0.69,-98.85642002539645,14.999999999999991
1971-09-23,0.7,-98.30493935673104,16.666666666666675
1971-09-24,0.66,-98.06677378019852,-21.42857142857142
1971-09-27,0.75,-97.29879129914666,-13.793103448275856
1971-09-28,0.74,-96.72862834948816,-28.846153846153854
1971-09-29,0.83,-96.35835199238802,-6.741573033707871
1971-09-30,0.62,-98.38798245292034,-17.333333333333336
1971-10-01,0.62,-98.18857674234876,-43.63636363636364
1971-10-04,0.6,-98.58613478942598,-50.413223140495866
1971-10-05,0.63,-96.62640566430652,-61.81818181818181
1971-10-06,0.98,-81.78038202469136,-8.41121495327104
1971-10-07,0.72,-96.000308624115,-53.846153846153854
1971-10-08,0.69,-96.62640566430652,-55.1948051948052
1971-10-12,0.63,-96.33636474609376,-55.00000000000001
1971-10-13,0.36,-99.67692584738464,-75.83892617449665
1971-10-14,0.5,-99.02210658859504,-60.31746031746032
1971-10-15,0.65,-97.47126680894044,-43.47826086956521
1971-10-18,0.82,-92.36591456190152,1.2345679012345512
1971-10-19,0.96,-90.51798758437111,19.999999999999996
1971-10-20,1.17,-72.79282883706755,-48.90829694323144
1971-10-21,0.88,-91.50466966083032,11.392405063291132
1971-10-22,0.9,-92.67537111600932,18.421052631578938
1971-10-26,0.89,-94.02318234644108,1.1363636363636465
1971-10-27,0.17,-99.99204380048774,-80.23255813953489
1971-10-28,0.77,-95.79111349241508,-47.97297297297297
1971-10-29,0.74,-92.1942482299042,-26.0
1971-11-01,0.67,-94.27972454763876,-32.99999999999999
1971-11-03,0.34,-99.85081290558884,-69.64285714285714
1971-11-04,0.72,-94.39877363791052,-21.739130434782616
1971-11-05,0.72,-94.5476351157642,-21.739130434782616
1971-11-08,0.89,-87.93152938274973,-16.03773584905661
1971-11-09,0.89,-88.84480559590847,-27.04918032786885
1971-11-10,1.07,-90.93439765267408,-13.709677419354838
1971-11-11,1.04,-72.7928288370675,-32.467532467532465
1971-11-12,0.89,-85.40816002549094,-26.446280991735538
1971-11-15,0.77,-93.90973615109998,-41.221374045801525
1971-11-16,0.76,-96.6766631749733,-47.22222222222222
1971-11-17,1.0,-75.40501157715617,-22.480620155038768
1971-11-18,1.02,-81.24686438099404,-26.086956521739125
1971-11-19,1.04,-74.94675311150387,-20.610687022900763
1971-11-22,0.94,-88.37995231483275,-21.666666666666668
1971-11-23,0.89,-86.56335981239882,-19.819819819819827
1971-11-24,0.82,-85.9771523380759,-23.364485981308427
1971-11-26,0.94,-56.8799299712561,-18.260869565217387
1971-11-29,1.32,123.15195854290496,0.7633587786259444
1971-11-30,1.68,162.38644901304556,-7.182320441988955
1971-12-01,2.17,969.3354171489198,69.53125
1971-12-02,1.4,38.724542592058285,11.99999999999999
1971-12-03,1.38,-20.181249958404116,14.049586776859503
1971-12-06,1.25,-63.66404760389901,5.932203389830515
1971-12-07,1.17,-65.80380982028473,-20.945945945945954
1971-12-08,1.17,-69.15783634110618,7.339449541284382
1971-12-09,1.44,18.55875300617136,-2.7027027027027084
1971-12-10,1.43,25.89517210753398,8.333333333333325
1971-12-13,1.65,223.82869605745128,13.793103448275868
1971-12-14,1.81,299.82911981642246,84.69387755102042
1971-12-15,2.96,4445.141820278343,169.09090909090904
1971-12-16,1.82,379.3636584495992,83.83838383838385
1971-12-17,1.8,358.63751392987587,111.76470588235294
1971-12-20,2.22,569.7235215711784,236.36363636363637
1971-12-21,2.5,1449.8078424748212,208.64197530864197
1971-12-22,2.51,1060.217074254247,132.40740740740736
1971-12-23,2.22,1196.1893560285316,74.80314960629923
1971-12-27,2.16,1690.8442149104549,20.67039106145252
1971-12-28,1.98,2141.275231640306,-15.384615384615385
1971-12-29,0.9,225.58982698778885,-43.39622641509434
1971-12-30,1.52,922.583189377522,6.2937062937062915
1971-12-31,2.89,13911.164331686005,186.13861386138612
1972-01-03,1.69,1323.868256318961,113.92405063291137
1972-01-04,2.18,2348.6215742746367,139.56043956043956
1972-01-05,2.28,4406.181698654463,117.14285714285712
1972-01-06,2.15,1874.0272914655457,36.0759493670886
1972-01-07,2.0,2692.820169035091,27.388535031847127
1972-01-10,2.11,4076.547756504071,19.2090395480226
1972-01-11,2.25,11206.643772713796,23.62637362637363
1972-01-12,2.63,60534.46019323789,105.46875
1972-01-13,2.23,50578.99809434265,72.86821705426357
1972-01-14,2.35,35767.11207123651,14.077669902912614
1972-01-17,2.39,173994.36227730705,-31.908831908831903
1972-01-18,2.29,262166.0141944885,-34.57142857142858
1972-01-19,2.46,308705.24554333714,156.25
1972-01-20,2.48,181314.6423063052,155.67010309278353
1972-01-21,2.49,205011.72738094552,-8.45588235294118
1972-01-24,2.64,45916.78624319949,35.384615384615394
1972-01-25,2.64,11759.209999999995,36.08247422680413
1972-01-26,2.76,4860.243207520744,37.31343283582089
1972-01-27,2.67,30191.80479645729,27.142857142857135
1972-01-28,2.83,28197.58539251633,-6.907894736842102
1972-01-31,2.96,21737.55156772923,41.62679425837321
1972-02-01,2.84,32183.019569978263,27.92792792792791
1972-02-02,2.95,33311.1712951989,29.385964912280716
1972-02-03,2.83,26614.9017950854,38.725490196078425
1972-02-04,2.83,33704.1484266237,102.14285714285718
1972-02-07,2.84,20460.24600019753,94.52054794520548
1972-02-08,2.86,22211.9359009178,58.011049723756905
1972-02-09,2.87,14196.02231608658,49.47916666666667
1972-02-10,2.86,45179.05710860931,30.593607305936075
1972-02-11,2.74,38044.81327441392,48.91304347826087
1972-02-14,2.72,42134.816790123485,48.633879781420774
1972-02-15,2.6,28908.895533988827,24.40191387559809
1972-02-16,2.33,3095.356961367792,36.257309941520475
1972-02-17,2.56,15881.95397043134,37.63440860215053
1972-02-18,2.68,22658.456956223075,13.559322033898313
1972-02-22,2.81,39478.84185074794,51.891891891891895
1972-02-23,2.94,444714.8919753085,32.432432432432414
1972-02-24,2.82,101085.06521599996,8.880308880308885
1972-02-25,2.93,41187.35436994503,-11.74698795180722
1972-02-28,2.91,15760.488026499772,-5.519480519480513
1972-02-29,2.79,7033.979892730713,34.13461538461537
1972-03-01,2.79,3133.5037288610342,32.22748815165877
1972-03-02,2.65,8123.426349338436,138.7387387387387
1972-03-03,2.64,7303.646419753089,33.33333333333335
1972-03-06,2.51,6226.082616334978,12.05357142857142
1972-03-07,2.52,4828335.981369954,-13.103448275862062
1972-03-08,2.52,11372.003278464585,-20.75471698113208
1972-03-09,2.39,10780.89764233169,-38.874680306905375
1972-03-10,2.15,10503.631554790423,-24.825174825174823
1972-03-13,2.19,172031.67354617393,-20.65217391304347
1972-03-14,1.93,5062.965824480118,-22.489959839357443
1972-03-15,2.23,9102.153353058082,-9.349593495934961
1972-03-16,2.2,3633.6250071144273,-21.42857142857142
1972-03-17,2.2,3633.6250071144273,-13.725490196078416
1972-03-20,2.21,1719.843257685839,-20.503597122302153
1972-03-21,2.08,1500.0,-27.27272727272727
1972-03-22,2.08,2883.275168637984,-24.90974729241877
1972-03-23,2.1,5432.408988457075,-8.695652173913038
1972-03-24,2.12,5954.65044006722,-3.1963470319634646
1972-03-27,2.1,1844.8100000000004,32.0754716981132
1972-03-28,1.98,1319.9075681565114,26.114649681528658
1972-03-29,1.62,488.744280334197,-3.5714285714285587
1972-03-30,1.87,1466.228101027506,-11.374407582938373
1972-04-03,1.89,1933.7014117809408,33.098591549295776
1972-04-04,1.93,2968.8370340768374,9.659090909090896
1972-04-05,1.8,1244.5551051390453,-11.764705882352944
1972-04-06,1.93,357.0182165512076,-3.500000000000003
1972-04-07,1.87,53.50739408368461,12.650602409638555
1972-04-10,1.86,-46.02249062890461,10.71428571428572
1972-04-11,1.93,261.17451088088296,11.560693641618492
1972-04-12,2.71,1387.1706912514387,92.19858156028369
1972-04-13,2.12,727.3769005056004,112.00000000000001
1972-04-14,2.0,753.8400771730549,94.1747572815534
1972-04-17,2.18,1105.2649508184654,37.9746835443038
1972-04-18,2.36,621.4363878410302,37.2093023255814
1972-04-19,2.72,1208.975344199527,66.8711656441718
1972-04-20,2.08,152.5326656328711,54.074074074074076
1972-04-21,2.2,118.26114229928342,39.240506329113934
1972-04-24,2.21,-68.92563586984306,48.32214765100671
1972-04-25,1.96,34.50509435944118,32.432432432432435
1972-04-26,1.19,-80.89716497104101,-2.4590163934426257
1972-04-27,1.73,-63.12156228478232,-14.356435643564359
1972-04-28,1.83,-71.2892641024,28.873239436619723
1972-05-01,1.89,-67.85212057570051,20.382165605095537
1972-05-02,1.97,-37.99124570084995,20.858895705521483
1972-05-03,2.17,1.864751671707765,17.934782608695656
1972-05-04,1.92,-11.581294200878467,15.662650602409634
1972-05-05,1.92,1971.2612345679013,8.47457627118644
1972-05-08,2.04,224.44890884815183,8.510638297872353
1972-05-09,2.2,-66.4185571271213,10.000000000000009
1972-05-10,1.94,73.64412783958403,-3.0000000000000027
1972-05-11,1.94,-37.283625422124935,20.496894409937873
1972-05-12,1.85,-56.65414981576591,1.6483516483516425
1972-05-15,1.91,-37.71555063895208,4.371584699453535
1972-05-16,1.85,-26.79058593749999,4.519774011299438
1972-05-17,1.65,-62.605652834621495,1.8518518518518379
1972-05-18,1.82,-57.18898944429203,31.8840579710145
1972-05-19,1.85,-75.51704019040004,20.915032679738577
1972-05-22,1.82,-55.632383356437344,12.345679012345666
1972-05-23,1.8,-65.57938930844045,4.651162790697683
1972-05-24,1.93,-57.47565506707877,9.659090909090896
1972-05-25,1.73,-67.42814572167639,-6.486486486486487
1972-05-26,1.73,-75.5407022367461,-12.182741116751272
1972-05-30,1.74,-75.76794367358728,-17.535545023696674
1972-05-31,1.3,-92.57021886063764,-32.98969072164948
1972-06-01,1.63,-85.46768810693204,-7.909604519774016
1972-06-02,1.59,-86.8425178410585,-14.054054054054054
1972-06-05,1.66,-86.91432819148052,-4.597701149425292
1972-06-06,1.63,-86.10990000764289,-14.210526315789473
1972-06-07,1.62,-89.26222458996219,-6.896551724137923
1972-06-08,1.62,-91.02791841756124,-4.142011834319515
1972-06-09,1.61,-89.67166908829742,-7.471264367816088
1972-06-12,1.66,-89.97361704747429,12.925170068027203
1972-06-13,1.72,-86.35517262850745,14.666666666666671
1972-06-14,1.72,-86.35517262850745,6.8322981366459645
1972-06-15,1.66,-88.32763144437395,3.105590062111796
1972-06-16,1.72,-86.91873766764155,19.444444444444443
1972-06-19,1.64,-89.33777592669722,8.609271523178808
1972-06-20,1.7,-87.51663833427881,6.91823899371069
1972-06-21,1.71,-84.83011843042296,4.907975460122693
1972-06-22,1.67,-85.7901246444277,7.051282051282048
1972-06-23,1.66,-83.38352263576205,-4.046242774566478
1972-06-26,1.62,-76.63120202597423,0.0
1972-06-27,1.56,-86.21081709861755,-4.294478527607348
1972-06-28,1.49,-90.44554547905176,-13.8728323699422
1972-06-29,1.51,-91.66160413192776,-16.11111111111111
1972-06-30,1.65,-90.079205466069,-8.333333333333337
1972-07-03,1.39,-94.09713613046569,-18.23529411764706
1972-07-05,1.5,-93.13098357569925,7.14285714285714
1972-07-06,1.5,-92.94018890766776,9.48905109489051
1972-07-07,1.38,-94.01451244011764,-20.231213872832377
1972-07-10,1.44,-92.90368058766396,-2.7027027027027084
1972-07-11,1.63,-85.68580524305173,9.395973154362402
1972-07-12,1.87,-74.82608748070987,23.84105960264902
1972-07-13,1.48,-87.91206890687972,-3.8961038961038974
1972-07-14,1.54,-86.05300259106843,-21.02564102564102
1972-07-17,1.55,-85.6871991150981,7.638888888888906
1972-07-18,1.48,-85.2953308394772,2.77777777777779
1972-07-19,2.34,40.31677355891732,50.96774193548386
1972-07-20,1.53,-76.17739422663537,-14.04494382022472
1972-07-21,1.47,-66.3457355549412,3.5211267605633756
1972-07-24,1.54,-77.25617887054372,-0.6451612903225823
1972-07-25,1.59,-72.71664499521891,8.163265306122458
1972-07-26,1.83,-52.12446549928285,13.664596273291929
1972-07-27,1.57,-74.52996657521449,6.802721088435382
1972-07-28,1.62,-63.20348247911269,20.895522388059696
1972-07-31,1.62,-63.20348247911269,39.655172413793125
1972-08-01,1.51,-73.2680518405397,39.81481481481482
1972-08-02,1.39,-81.51941318398399,5.303030303030298
1972-08-03,1.52,-72.55285524035767,26.666666666666682
1972-08-04,1.53,-64.34627074653372,18.604651162790688
1972-08-07,1.47,-32.20318671310647,0.6849315068493178
1972-08-08,1.4,-68.58437410794347,-13.043478260869579
1972-08-09,1.26,-80.2469135802469,-17.647058823529417
1972-08-10,1.39,-73.09518779759163,-11.46496815286625
1972-08-11,1.33,-70.19311833180917,-3.6231884057970842
1972-08-14,1.35,-76.06100919354904,0.0
1972-08-15,1.36,-72.0237688682467,10.569105691056912
1972-08-16,0.93,-93.75,-27.34375
1972-08-17,1.32,-78.11903412633548,15.789473684210531
1972-08-18,1.4,-92.87745865008814,13.821138211382111
1972-08-21,1.52,-73.57403179856843,23.57723577235773
1972-08-22,1.7,-47.79937500000001,23.188405797101463
1972-08-23,1.47,-79.32510252630736,16.666666666666675
1972-08-24,1.48,-84.53325769530181,8.823529411764696
1972-08-25,1.51,-90.50199982963562,29.059829059829067
1972-08-28,1.49,-73.66752177075149,41.90476190476189
