DATE,PAYEMS,3m growth rate,12m growth rate
1961-06-01,53977,2.391681068397933,-0.6826378155589952
1961-07-01,54123,3.751273339075123,-0.3369793392995257
1961-08-01,54298,3.862397318577648,0.047906839622635644
1961-09-01,54388,3.0807056626488194,0.2969000682316869
1961-10-01,54522,2.981608002007996,0.7018580769088789
1961-11-01,54742,3.311176803232807,1.4473415985619242
1961-12-01,54872,3.607406812860381,2.102638532246659
1962-01-01,54891,2.7347710560481358,2.250246819291024
1962-02-01,55188,3.298967630182825,3.0453535485557515
1962-03-01,55275,2.9702685981504606,3.011610354274219
1962-04-01,55602,5.282716589560699,3.6828463274096945
1962-05-01,55628,3.227441021223232,3.42468300301193
1962-06-01,55644,2.697143220363296,3.088352446412368
1962-07-01,55746,1.0399652588509278,2.9987251261016645
1962-08-01,55838,1.518603184925027,2.8362002283693677
1962-09-01,55978,2.422681880200095,2.9234389938957106
1962-10-01,56041,2.133605423704843,2.7860313268038617
1962-11-01,56056,1.570829783009775,2.400350736180634
1962-12-01,56028,0.3577621958868571,2.1067210963697347
1963-01-01,56115,0.5292318147838149,2.2298737497950416
1963-02-01,56230,1.2474085338410212,1.888091614119003
1963-03-01,56320,2.1010256108227487,1.8905472636815857
1963-04-01,56580,3.356050025748836,1.7589295349088152
1963-05-01,56616,2.7742689724156837,1.7760839864816358
1963-06-01,56659,2.429496105686124,1.8240960391057381
1963-07-01,56794,1.5215070214607884,1.8799555125031286
1963-08-01,56910,2.0933870117223474,1.9198395357999942
1963-09-01,57078,2.9910219968970475,1.9650577012397807
1963-10-01,57283,3.4887615694613183,2.2162345425670527
1963-11-01,57255,2.447020828488733,2.138932496075352
1963-12-01,57361,1.998049621453868,2.3791675590776107
1964-01-01,57487,1.4321340499034774,2.4449790608571664
1964-02-01,57753,3.524828305341954,2.7085185843855664
1964-03-01,57897,3.790448218773612,2.8000710227272796
1964-04-01,57922,3.0612999471688385,2.3718628490632776
1964-05-01,58089,2.347539353384609,2.6017380245866972
1964-06-01,58219,2.243268058336878,2.753313683616021
1964-07-01,58412,3.427043168785038,2.8488924886431732
1964-08-01,58619,3.699824378722205,3.002987172728866
1964-09-01,58903,4.782967079112055,3.197379025193592
1964-10-01,58793,2.634690956346364,2.6360351238587265
1964-11-01,59218,4.150490833531539,3.4285215265042357
1964-12-01,59421,3.564322217699245,3.591290249472645
1965-01-01,59582,5.4770132538122684,3.6443021900603556
1965-02-01,59800,3.9895726255321895,3.544404619673447
1965-03-01,60003,3.975743140546606,3.6374941706824204
1965-04-01,60259,4.623049000389523,4.0347363696005
1965-05-01,60491,4.7028058768216585,4.135034171702046
